time,lumin,
0.375,3.2075e+40,
0.75,1.2365e+41,
1.125,2.6687e+41,
1.5,4.5292e+41,
1.875,6.7239e+41,
2.25,9.1561e+41,
2.625,1.173e+42,
3.0,1.4353e+42,
3.375,1.694e+42,
3.75,1.9414e+42,
4.125,2.1709e+42,
4.5,2.3773e+42,
4.875,2.5562e+42,
5.25,2.7048e+42,
5.625,2.8215e+42,
6.0,2.9058e+42,
6.375,2.958e+42,
6.75,2.9797e+42,
7.125,2.9728e+42,
7.5,2.94e+42,
7.875,2.8844e+42,
8.25,2.8091e+42,
8.625,2.7174e+42,
9.0,2.6128e+42,
9.375,2.4982e+42,
9.75,2.3768e+42,
10.125,2.251e+42,
10.5,2.1233e+42,
10.875,1.9958e+42,
11.25,1.87e+42,
11.625,1.7473e+42,
12.0,1.6289e+42,
12.375,1.5156e+42,
12.75,1.4078e+42,
13.125,1.3059e+42,
13.5,1.2101e+42,
13.875,1.1205e+42,
14.25,1.0369e+42,
14.625,9.5918e+41,
15.0,8.8714e+41,
15.375,8.2048e+41,
15.75,7.5892e+41,
16.125,7.0212e+41,
16.5,6.4978e+41,
16.875,6.0159e+41,
17.25,5.5722e+41,
17.625,5.164e+41,
18.0,4.7885e+41,
18.375,4.443e+41,
18.75,4.1251e+41,
19.125,3.8325e+41,
19.5,3.5632e+41,
19.875,3.3153e+41,
20.25,3.0869e+41,
20.625,2.8764e+41,
21.0,2.6825e+41,
21.375,2.5036e+41,
21.75,2.3385e+41,
22.125,2.1862e+41,
22.5,2.0455e+41,
22.875,1.9155e+41,
23.25,1.7954e+41,
23.625,1.6843e+41,
24.0,1.5815e+41,
24.375,1.4864e+41,
24.75,1.3983e+41,
25.125,1.3167e+41,
25.5,1.241e+41,
25.875,1.1708e+41,
26.25,1.1057e+41,
26.625,1.0452e+41,
27.0,9.8905e+40,
27.375,9.3686e+40,
27.75,8.8833e+40,
28.125,8.4317e+40,
28.5,8.0115e+40,
28.875,7.6201e+40,
29.25,7.2554e+40,
29.625,6.9154e+40,
30.0,6.5983e+40,
30.375,6.3023e+40,
30.75,6.0259e+40,
31.125,5.7676e+40,
31.5,5.5262e+40,
31.875,5.3003e+40,
32.25,5.089e+40,
32.625,4.891e+40,
33.0,4.7055e+40,
33.375,4.5316e+40,
33.75,4.3685e+40,
34.125,4.2153e+40,
34.5,4.0714e+40,
34.875,3.9362e+40,
35.25,3.809e+40,
35.625,3.6892e+40,
36.0,3.5765e+40,
36.375,3.4702e+40,
36.75,3.37e+40,
37.125,3.2754e+40,
37.5,3.1861e+40,
37.875,3.1017e+40,
38.25,3.0219e+40,
38.625,2.9463e+40,
39.0,2.8747e+40,
39.375,2.8069e+40,
39.75,2.7425e+40,
40.125,2.6814e+40,
40.5,2.6233e+40,
40.875,2.5681e+40,
41.25,2.5156e+40,
41.625,2.4656e+40,
42.0,2.4179e+40,
42.375,2.3724e+40,
42.75,2.3289e+40,
43.125,2.2874e+40,
43.5,2.2477e+40,
43.875,2.2097e+40,
44.25,2.1732e+40,
44.625,2.1383e+40,
45.0,2.1048e+40,
45.375,2.0726e+40,
45.75,2.0417e+40,
46.125,2.0119e+40,
46.5,1.9832e+40,
46.875,1.9556e+40,
47.25,1.929e+40,
47.625,1.9032e+40,
48.0,1.8784e+40,
48.375,1.8543e+40,
48.75,1.8311e+40,
49.125,1.8085e+40,
49.5,1.7867e+40,
49.875,1.7655e+40,
50.25,1.7449e+40,
50.625,1.725e+40,
51.0,1.7055e+40,
51.375,1.6866e+40,
51.75,1.6682e+40,
52.125,1.6503e+40,
52.5,1.6328e+40,
52.875,1.6157e+40,
53.25,1.5991e+40,
53.625,1.5828e+40,
54.0,1.5669e+40,
54.375,1.5513e+40,
54.75,1.5361e+40,
55.125,1.5212e+40,
55.5,1.5066e+40,
55.875,1.4923e+40,
56.25,1.4782e+40,
56.625,1.4644e+40,
57.0,1.4509e+40,
57.375,1.4376e+40,
57.75,1.4246e+40,
58.125,1.4117e+40,
58.5,1.3991e+40,
58.875,1.3867e+40,
59.25,1.3744e+40,
59.625,1.3624e+40,
60.0,1.3505e+40,
60.375,1.3389e+40,
60.75,1.3273e+40,
61.125,1.316e+40,
61.5,1.3048e+40,
61.875,1.2937e+40,
62.25,1.2828e+40,
62.625,1.2721e+40,
63.0,1.2615e+40,
63.375,1.251e+40,
63.75,1.2406e+40,
64.125,1.2304e+40,
64.5,1.2203e+40,
64.875,1.2103e+40,
65.25,1.2004e+40,
65.625,1.1906e+40,
66.0,1.1809e+40,
66.375,1.1714e+40,
66.75,1.1619e+40,
67.125,1.1526e+40,
67.5,1.1433e+40,
67.875,1.1341e+40,
68.25,1.1251e+40,
68.625,1.1161e+40,
69.0,1.1072e+40,
69.375,1.0984e+40,
69.75,1.0897e+40,
70.125,1.081e+40,
70.5,1.0725e+40,
70.875,1.064e+40,
71.25,1.0556e+40,
71.625,1.0473e+40,
72.0,1.0391e+40,
72.375,1.0309e+40,
72.75,1.0228e+40,
73.125,1.0148e+40,
73.5,1.0068e+40,
73.875,9.9895e+39,
74.25,9.9114e+39,
74.625,9.834e+39,
75.0,9.7573e+39,
75.375,9.6812e+39,
75.75,9.6058e+39,
76.125,9.5311e+39,
76.5,9.4569e+39,
76.875,9.3834e+39,
77.25,9.3105e+39,
77.625,9.2382e+39,
78.0,9.1665e+39,
78.375,9.0954e+39,
78.75,9.025e+39,
79.125,8.955e+39,
79.5,8.8857e+39,
79.875,8.8169e+39,
80.25,8.7487e+39,
80.625,8.6811e+39,
81.0,8.614e+39,
81.375,8.5474e+39,
81.75,8.4814e+39,
82.125,8.4159e+39,
82.5,8.351e+39,
82.875,8.2865e+39,
83.25,8.2226e+39,
83.625,8.1592e+39,
84.0,8.0963e+39,
84.375,8.034e+39,
84.75,7.9721e+39,
85.125,7.9107e+39,
85.5,7.8498e+39,
85.875,7.7894e+39,
86.25,7.7294e+39,
86.625,7.67e+39,
87.0,7.611e+39,
87.375,7.5525e+39,
87.75,7.4944e+39,
88.125,7.4368e+39,
88.5,7.3797e+39,
88.875,7.323e+39,
89.25,7.2668e+39,
89.625,7.211e+39,
90.0,7.1557e+39,
90.375,7.1008e+39,
90.75,7.0463e+39,
91.125,6.9923e+39,
91.5,6.9387e+39,
91.875,6.8855e+39,
92.25,6.8327e+39,
92.625,6.7804e+39,
93.0,6.7285e+39,
93.375,6.677e+39,
93.75,6.6259e+39,
94.125,6.5752e+39,
94.5,6.5249e+39,
94.875,6.475e+39,
95.25,6.4255e+39,
95.625,6.3764e+39,
96.0,6.3276e+39,
96.375,6.2793e+39,
96.75,6.2314e+39,
97.125,6.1838e+39,
97.5,6.1366e+39,
97.875,6.0898e+39,
98.25,6.0433e+39,
98.625,5.9973e+39,
99.0,5.9516e+39,
99.375,5.9062e+39,
99.75,5.8613e+39,
100.12,5.8166e+39,
100.5,5.7724e+39,
100.88,5.7285e+39,
101.25,5.6849e+39,
101.62,5.6417e+39,
102.0,5.5988e+39,
102.38,5.5563e+39,
102.75,5.5141e+39,
103.12,5.4723e+39,
103.5,5.4308e+39,
103.88,5.3896e+39,
104.25,5.3487e+39,
104.62,5.3082e+39,
105.0,5.268e+39,
105.38,5.2281e+39,
105.75,5.1886e+39,
