time,lumin,
0.375,2.0047e+40,
0.75,7.7283e+40,
1.125,1.6679e+41,
1.5,2.8307e+41,
1.875,4.2024e+41,
2.25,5.7226e+41,
2.625,7.3311e+41,
3.0,8.9705e+41,
3.375,1.0587e+42,
3.75,1.2134e+42,
4.125,1.3568e+42,
4.5,1.4858e+42,
4.875,1.5976e+42,
5.25,1.6905e+42,
5.625,1.7635e+42,
6.0,1.8161e+42,
6.375,1.8488e+42,
6.75,1.8623e+42,
7.125,1.858e+42,
7.5,1.8375e+42,
7.875,1.8027e+42,
8.25,1.7557e+42,
8.625,1.6984e+42,
9.0,1.633e+42,
9.375,1.5614e+42,
9.75,1.4855e+42,
10.125,1.4069e+42,
10.5,1.3271e+42,
10.875,1.2474e+42,
11.25,1.1687e+42,
11.625,1.0921e+42,
12.0,1.0181e+42,
12.375,9.4723e+41,
12.75,8.7985e+41,
13.125,8.1618e+41,
13.5,7.5632e+41,
13.875,7.0029e+41,
14.25,6.4805e+41,
14.625,5.9949e+41,
15.0,5.5446e+41,
15.375,5.128e+41,
15.75,4.7432e+41,
16.125,4.3883e+41,
16.5,4.0612e+41,
16.875,3.7599e+41,
17.25,3.4827e+41,
17.625,3.2275e+41,
18.0,2.9928e+41,
18.375,2.7769e+41,
18.75,2.5782e+41,
19.125,2.3953e+41,
19.5,2.227e+41,
19.875,2.0721e+41,
20.25,1.9293e+41,
20.625,1.7978e+41,
21.0,1.6765e+41,
21.375,1.5647e+41,
21.75,1.4616e+41,
22.125,1.3664e+41,
22.5,1.2784e+41,
22.875,1.1972e+41,
23.25,1.1221e+41,
23.625,1.0527e+41,
24.0,9.8846e+40,
24.375,9.29e+40,
24.75,8.7393e+40,
25.125,8.2291e+40,
25.5,7.7562e+40,
25.875,7.3175e+40,
26.25,6.9105e+40,
26.625,6.5326e+40,
27.0,6.1816e+40,
27.375,5.8554e+40,
27.75,5.552e+40,
28.125,5.2698e+40,
28.5,5.0072e+40,
28.875,4.7626e+40,
29.25,4.5346e+40,
29.625,4.3221e+40,
30.0,4.1239e+40,
30.375,3.9389e+40,
30.75,3.7662e+40,
31.125,3.6048e+40,
31.5,3.4539e+40,
31.875,3.3127e+40,
32.25,3.1806e+40,
32.625,3.0569e+40,
33.0,2.941e+40,
33.375,2.8323e+40,
33.75,2.7303e+40,
