time,lumin,
0.2,1.313e+40,
0.4,5.1706e+40,
0.6,1.1449e+41,
0.8,2.0025e+41,
1.0,3.0771e+41,
1.2,4.3562e+41,
1.4,5.8272e+41,
1.6,7.4772e+41,
1.8,9.2937e+41,
2.0,1.1264e+42,
2.2,1.3375e+42,
2.4,1.5616e+42,
2.6,1.7972e+42,
2.8,2.0433e+42,
3.0,2.2985e+42,
3.2,2.5618e+42,
3.4,2.832e+42,
3.6,3.1078e+42,
3.8,3.3882e+42,
4.0,3.6722e+42,
4.2,3.9585e+42,
4.4,4.2463e+42,
4.6,4.5345e+42,
4.8,4.8222e+42,
5.0,5.1085e+42,
5.2,5.3923e+42,
5.4,5.6731e+42,
5.6,5.9498e+42,
5.8,6.2218e+42,
6.0,6.4883e+42,
6.2,6.7488e+42,
6.4,7.0024e+42,
6.6,7.2487e+42,
6.8,7.4871e+42,
7.0,7.7171e+42,
7.2,7.9382e+42,
7.4,8.1501e+42,
7.6,8.3523e+42,
7.8,8.5446e+42,
8.0,8.7266e+42,
8.2,8.8981e+42,
8.4,9.0589e+42,
8.6,9.2088e+42,
8.8,9.3478e+42,
9.0,9.4756e+42,
9.2,9.5924e+42,
9.4,9.698e+42,
9.6,9.7924e+42,
9.8,9.8758e+42,
10.0,9.9481e+42,
10.2,1.001e+43,
10.4,1.006e+43,
10.6,1.01e+43,
10.8,1.013e+43,
11.0,1.0149e+43,
11.2,1.0159e+43,
11.4,1.0159e+43,
11.6,1.0149e+43,
11.8,1.013e+43,
12.0,1.0102e+43,
12.2,1.0065e+43,
12.4,1.002e+43,
12.6,9.9677e+42,
12.8,9.9073e+42,
13.0,9.8396e+42,
13.2,9.765e+42,
13.4,9.6837e+42,
13.6,9.5963e+42,
13.8,9.5029e+42,
14.0,9.404e+42,
14.2,9.3e+42,
14.4,9.1911e+42,
14.6,9.0777e+42,
14.8,8.9601e+42,
15.0,8.8388e+42,
15.2,8.714e+42,
15.4,8.586e+42,
15.6,8.4552e+42,
15.8,8.3219e+42,
16.0,8.1864e+42,
16.2,8.0489e+42,
16.4,7.9098e+42,
16.6,7.7693e+42,
16.8,7.6277e+42,
17.0,7.4853e+42,
17.2,7.3422e+42,
17.4,7.1988e+42,
17.6,7.0552e+42,
17.8,6.9117e+42,
18.0,6.7684e+42,
18.2,6.6255e+42,
18.4,6.4833e+42,
18.6,6.3419e+42,
18.8,6.2014e+42,
19.0,6.062e+42,
19.2,5.9238e+42,
19.4,5.787e+42,
19.6,5.6517e+42,
19.8,5.5179e+42,
20.0,5.3859e+42,
20.2,5.2556e+42,
20.4,5.1271e+42,
20.6,5.0006e+42,
20.8,4.876e+42,
21.0,4.7535e+42,
21.2,4.6331e+42,
21.4,4.5148e+42,
21.6,4.3987e+42,
21.8,4.2848e+42,
22.0,4.1731e+42,
22.2,4.0636e+42,
22.4,3.9565e+42,
22.6,3.8515e+42,
22.8,3.7489e+42,
23.0,3.6485e+42,
23.2,3.5503e+42,
23.4,3.4545e+42,
23.6,3.3608e+42,
23.8,3.2694e+42,
24.0,3.1801e+42,
24.2,3.0931e+42,
24.4,3.0082e+42,
24.6,2.9255e+42,
24.8,2.8448e+42,
25.0,2.7662e+42,
25.2,2.6897e+42,
25.4,2.6151e+42,
25.6,2.5425e+42,
25.8,2.4719e+42,
26.0,2.4032e+42,
26.2,2.3363e+42,
26.4,2.2712e+42,
26.6,2.208e+42,
26.8,2.1465e+42,
27.0,2.0867e+42,
27.2,2.0285e+42,
27.4,1.972e+42,
27.6,1.9171e+42,
27.8,1.8638e+42,
28.0,1.812e+42,
28.2,1.7616e+42,
28.4,1.7127e+42,
28.6,1.6652e+42,
28.8,1.6191e+42,
29.0,1.5743e+42,
29.2,1.5308e+42,
29.4,1.4886e+42,
29.6,1.4476e+42,
29.8,1.4077e+42,
30.0,1.3691e+42,
30.2,1.3316e+42,
30.4,1.2951e+42,
30.6,1.2598e+42,
30.8,1.2254e+42,
31.0,1.1921e+42,
31.2,1.1598e+42,
31.4,1.1284e+42,
31.6,1.0979e+42,
31.8,1.0683e+42,
32.0,1.0396e+42,
32.2,1.0117e+42,
32.4,9.8467e+41,
32.6,9.5841e+41,
32.8,9.3291e+41,
33.0,9.0817e+41,
33.2,8.8415e+41,
33.4,8.6083e+41,
33.6,8.3819e+41,
33.8,8.1622e+41,
34.0,7.9489e+41,
34.2,7.7418e+41,
34.4,7.5408e+41,
34.6,7.3456e+41,
34.8,7.1561e+41,
35.0,6.9722e+41,
35.2,6.7936e+41,
35.4,6.6202e+41,
35.6,6.4518e+41,
35.8,6.2883e+41,
36.0,6.1296e+41,
36.2,5.9754e+41,
36.4,5.8258e+41,
36.6,5.6804e+41,
36.8,5.5393e+41,
