M,MNi,max_LC,skew,CV_LC,mad,aslope,bslope,median,time
0.5,0.01,1.8726e+41,3.3532,1.4647,3.5233e+40,-7.7959e+39,1.3102e+40,5.613e+39,14.5
0.5,0.03,7.2792e+41,4.1599,1.6135,1.2184e+41,-3.6907e+40,6.1568e+40,1.4083e+40,12.0
0.5,0.05,1.3499e+42,4.582,1.6848,2.1402e+41,-7.4251e+40,1.2449e+41,2.0558e+40,11.0
0.5,0.069,1.9831e+42,4.8698,1.7327,3.0321e+41,-1.1535e+41,1.9138e+41,2.5751e+40,10.5
0.5,0.089,2.6809e+42,5.1133,1.773,3.9743e+41,-1.6081e+41,2.7153e+41,3.0651e+40,10.0
0.5,0.109,3.4026e+42,5.3202,1.807,4.9073e+41,-2.0703e+41,3.6282e+41,3.5813e+40,9.5
0.5,0.129,4.1391e+42,5.5027,1.8368,5.8329e+41,-2.6373e+41,4.4029e+41,4.082e+40,9.5
0.5,0.149,4.8992e+42,5.6677,1.8634,6.7558e+41,-3.1171e+41,5.5062e+41,4.5116e+40,9.0
0.5,0.168,5.6252e+42,5.8122,1.8865,7.6238e+41,-3.6935e+41,6.3098e+41,4.9112e+40,9.0
0.5,0.188,6.407e+42,5.954,1.9089,8.5277e+41,-4.1675e+41,7.6215e+41,5.3258e+40,8.5
0.5,0.208,7.1971e+42,6.0874,1.9297,9.4215e+41,-4.8091e+41,8.5461e+41,5.736e+40,8.5
0.5,0.228,7.9876e+42,6.2136,1.9491,1.0305e+42,-5.4617e+41,9.468e+41,6.1428e+40,8.5
0.5,0.248,8.7947e+42,6.3339,1.9674,1.1179e+42,-5.9228e+41,1.1102e+42,6.5473e+40,8.0
0.5,0.267,9.5697e+42,6.4433,1.9838,1.1999e+42,-6.5721e+41,1.2062e+42,6.9297e+40,8.0
0.5,0.287,1.0385e+43,6.554,2.0003,1.2854e+42,-7.2641e+41,1.307e+42,7.3307e+40,8.0
0.5,0.307,1.1199e+43,6.6606,2.0159,1.3699e+42,-7.9631e+41,1.4074e+42,7.7305e+40,8.0
0.5,0.327,1.2022e+43,6.7636,2.0308,1.4535e+42,-8.3872e+41,1.6163e+42,8.1292e+40,7.5
0.5,0.347,1.2862e+43,6.8634,2.0451,1.5361e+42,-9.1147e+41,1.727e+42,8.5269e+40,7.5
0.5,0.366,1.3659e+43,6.9554,2.0581,1.6139e+42,-9.8117e+41,1.8318e+42,8.904e+40,7.5
0.5,0.386,1.4497e+43,7.0495,2.0713,1.6949e+42,-1.055e+42,1.9415e+42,9.3002e+40,7.5
0.5,0.406,1.5332e+43,7.1412,2.084,1.775e+42,-1.1293e+42,2.0508e+42,9.6956e+40,7.5
0.5,0.426,1.6165e+43,7.2305,2.0962,1.8544e+42,-1.2039e+42,2.1594e+42,1.009e+41,7.5
0.5,0.446,1.7005e+43,7.3177,2.1081,1.933e+42,-1.2405e+42,2.4434e+42,1.0485e+41,7.0
0.5,0.465,1.7823e+43,7.3987,2.1189,2.0069e+42,-1.3141e+42,2.5582e+42,1.0859e+41,7.0
0.5,0.485,1.8683e+43,7.482,2.13,2.084e+42,-1.3919e+42,2.6786e+42,1.1252e+41,7.0
0.5,0.505,1.9541e+43,7.5636,2.1408,2.1604e+42,-1.4699e+42,2.7985e+42,1.1644e+41,7.0
0.5,0.525,2.0397e+43,7.6435,2.1513,2.2361e+42,-1.5482e+42,2.9178e+42,1.2036e+41,7.0
0.5,0.545,2.125e+43,7.7218,2.1614,2.3111e+42,-1.6266e+42,3.0364e+42,1.2428e+41,7.0
0.5,0.564,2.2057e+43,7.7949,2.1708,2.3817e+42,-1.7012e+42,3.1485e+42,1.2799e+41,7.0
0.5,0.584,2.2904e+43,7.8704,2.1804,2.4554e+42,-1.7798e+42,3.2658e+42,1.319e+41,7.0
0.5,0.604,2.3748e+43,7.9445,2.1898,2.5285e+42,-1.8584e+42,3.3823e+42,1.358e+41,7.0
0.5,0.624,2.4616e+43,8.0174,2.199,2.601e+42,-1.8872e+42,3.7943e+42,1.397e+41,6.5
0.5,0.644,2.5494e+43,8.089,2.2079,2.6728e+42,-1.9689e+42,3.9258e+42,1.4359e+41,6.5
0.5,0.663,2.6325e+43,8.1559,2.2162,2.7405e+42,-2.0467e+42,4.0501e+42,1.4728e+41,6.5
0.5,0.683,2.7198e+43,8.2253,2.2247,2.8112e+42,-2.1286e+42,4.1804e+42,1.5116e+41,6.5
0.5,0.703,2.8069e+43,8.2936,2.233,2.8814e+42,-2.2105e+42,4.3101e+42,1.5504e+41,6.5
0.5,0.723,2.8937e+43,8.3609,2.2411,2.951e+42,-2.2924e+42,4.4391e+42,1.5891e+41,6.5
0.5,0.743,2.9802e+43,8.4272,2.2491,3.02e+42,-2.3743e+42,4.5674e+42,1.6278e+41,6.5
0.5,0.762,3.062e+43,8.4893,2.2565,3.0851e+42,-2.452e+42,4.6886e+42,1.6646e+41,6.5
0.5,0.782,3.1479e+43,8.5538,2.2642,3.1532e+42,-2.5337e+42,4.8155e+42,1.7032e+41,6.5
0.5,0.802,3.2334e+43,8.6173,2.2717,3.2207e+42,-2.6153e+42,4.9416e+42,1.7417e+41,6.5
0.5,0.822,3.3186e+43,8.6801,2.279,3.2877e+42,-2.6967e+42,5.0669e+42,1.7803e+41,6.5
0.5,0.842,3.4034e+43,8.742,2.2862,3.3543e+42,-2.7779e+42,5.1914e+42,1.8188e+41,6.5
0.5,0.861,3.4855e+43,8.8,2.293,3.417e+42,-2.7891e+42,5.795e+42,1.8553e+41,6.0
0.5,0.881,3.5744e+43,8.8604,2.2999,3.4827e+42,-2.8741e+42,5.9378e+42,1.8937e+41,6.0
0.5,0.901,3.663e+43,8.92,2.3067,3.5478e+42,-2.959e+42,6.08e+42,1.932e+41,6.0
0.5,0.921,3.7514e+43,8.9789,2.3134,3.6126e+42,-3.0439e+42,6.2215e+42,1.9704e+41,6.0
0.5,0.941,3.8395e+43,9.0371,2.32,3.6768e+42,-3.1286e+42,6.3624e+42,2.0087e+41,6.0
