time,lumin,
0.15,1.4566e+39,
0.3,5.7593e+39,
0.45,1.2808e+40,
0.6,2.2501e+40,
0.75,3.4738e+40,
0.9,4.9419e+40,
1.05,6.6442e+40,
1.2,8.5708e+40,
1.35,1.0712e+41,
1.5,1.3056e+41,
1.65,1.5596e+41,
1.8,1.8319e+41,
1.95,2.1217e+41,
2.1,2.428e+41,
2.25,2.7498e+41,
2.4,3.0861e+41,
2.55,3.436e+41,
2.7,3.7986e+41,
2.85,4.1728e+41,
3.0,4.5579e+41,
3.15,4.9528e+41,
3.3,5.3567e+41,
3.45,5.7687e+41,
3.6,6.1879e+41,
3.75,6.6135e+41,
3.9,7.0446e+41,
4.05,7.4804e+41,
4.2,7.9201e+41,
4.35,8.3629e+41,
4.5,8.808e+41,
4.65,9.2547e+41,
4.8,9.7022e+41,
4.95,1.015e+42,
5.1,1.0597e+42,
5.25,1.1043e+42,
5.4,1.1486e+42,
5.55,1.1928e+42,
5.7,1.2366e+42,
5.85,1.28e+42,
6.0,1.323e+42,
6.15,1.3655e+42,
6.3,1.4074e+42,
6.45,1.4488e+42,
6.6,1.4895e+42,
6.75,1.5295e+42,
6.9,1.5688e+42,
7.05,1.6073e+42,
7.2,1.645e+42,
7.35,1.6818e+42,
7.5,1.7177e+42,
7.65,1.7527e+42,
7.8,1.7868e+42,
7.95,1.8198e+42,
8.1,1.8519e+42,
8.25,1.8829e+42,
8.4,1.9128e+42,
8.55,1.9416e+42,
8.7,1.9694e+42,
8.85,1.996e+42,
9.0,2.0215e+42,
9.15,2.0458e+42,
9.3,2.069e+42,
9.45,2.0911e+42,
9.6,2.1119e+42,
9.75,2.1316e+42,
9.9,2.15e+42,
10.05,2.1673e+42,
10.2,2.1834e+42,
10.35,2.1984e+42,
10.5,2.2121e+42,
10.65,2.2247e+42,
10.8,2.2361e+42,
10.95,2.2463e+42,
11.1,2.2554e+42,
11.25,2.2633e+42,
11.4,2.2701e+42,
11.55,2.2758e+42,
11.7,2.2804e+42,
11.85,2.2838e+42,
12.0,2.2862e+42,
12.15,2.2876e+42,
12.3,2.2879e+42,
12.45,2.2871e+42,
12.6,2.2854e+42,
12.75,2.2827e+42,
12.9,2.279e+42,
13.05,2.2743e+42,
13.2,2.2688e+42,
13.35,2.2623e+42,
13.5,2.255e+42,
13.65,2.2468e+42,
13.8,2.2378e+42,
13.95,2.228e+42,
14.1,2.2175e+42,
14.25,2.2061e+42,
14.4,2.194e+42,
14.55,2.1813e+42,
14.7,2.1678e+42,
14.85,2.1537e+42,
15.0,2.139e+42,
15.15,2.1237e+42,
15.3,2.1078e+42,
15.45,2.0913e+42,
15.6,2.0744e+42,
15.75,2.0569e+42,
15.9,2.0389e+42,
16.05,2.0205e+42,
16.2,2.0017e+42,
16.35,1.9825e+42,
16.5,1.9629e+42,
16.65,1.943e+42,
16.8,1.9227e+42,
16.95,1.9021e+42,
17.1,1.8812e+42,
17.25,1.8601e+42,
17.4,1.8387e+42,
17.55,1.8172e+42,
17.7,1.7954e+42,
17.85,1.7735e+42,
18.0,1.7514e+42,
18.15,1.7291e+42,
18.3,1.7068e+42,
18.45,1.6843e+42,
18.6,1.6618e+42,
18.75,1.6392e+42,
18.9,1.6166e+42,
19.05,1.5939e+42,
19.2,1.5713e+42,
