time,lumin,
0.15,2.0398e+38,
0.3,8.0677e+38,
0.45,1.7948e+39,
0.6,3.1549e+39,
0.75,4.8741e+39,
0.9,6.9396e+39,
1.05,9.3391e+39,
1.2,1.2061e+40,
1.35,1.5092e+40,
1.5,1.8422e+40,
1.65,2.2038e+40,
1.8,2.5931e+40,
1.95,3.0089e+40,
2.1,3.4501e+40,
2.25,3.9157e+40,
2.4,4.4047e+40,
2.55,4.9161e+40,
2.7,5.449e+40,
2.85,6.0023e+40,
3.0,6.5751e+40,
3.15,7.1666e+40,
3.3,7.7759e+40,
3.45,8.4021e+40,
3.6,9.0443e+40,
3.75,9.7018e+40,
3.9,1.0374e+41,
4.05,1.1059e+41,
4.2,1.1758e+41,
4.35,1.2468e+41,
4.5,1.319e+41,
4.65,1.3923e+41,
4.8,1.4665e+41,
4.95,1.5417e+41,
5.1,1.6178e+41,
5.25,1.6946e+41,
5.4,1.7722e+41,
5.55,1.8505e+41,
5.7,1.9294e+41,
5.85,2.0088e+41,
6.0,2.0887e+41,
6.15,2.1691e+41,
6.3,2.2499e+41,
6.45,2.331e+41,
6.6,2.4124e+41,
6.75,2.4941e+41,
6.9,2.5759e+41,
7.05,2.6579e+41,
7.2,2.7399e+41,
7.35,2.8221e+41,
7.5,2.9042e+41,
7.65,2.9863e+41,
7.8,3.0683e+41,
7.95,3.1502e+41,
8.1,3.232e+41,
8.25,3.3135e+41,
8.4,3.3949e+41,
8.55,3.4759e+41,
8.7,3.5567e+41,
8.85,3.6372e+41,
9.0,3.7172e+41,
9.15,3.7969e+41,
9.3,3.8762e+41,
9.45,3.955e+41,
9.6,4.0334e+41,
9.75,4.1112e+41,
9.9,4.1885e+41,
10.05,4.2652e+41,
10.2,4.3414e+41,
10.35,4.4169e+41,
10.5,4.4918e+41,
10.65,4.566e+41,
10.8,4.6396e+41,
10.95,4.7125e+41,
11.1,4.7847e+41,
11.25,4.8561e+41,
11.4,4.9268e+41,
11.55,4.9967e+41,
11.7,5.0658e+41,
11.85,5.1341e+41,
12.0,5.2017e+41,
12.15,5.2683e+41,
12.3,5.3341e+41,
12.45,5.3991e+41,
12.6,5.4632e+41,
12.75,5.5264e+41,
12.9,5.5887e+41,
13.05,5.6501e+41,
13.2,5.7106e+41,
13.35,5.7701e+41,
13.5,5.8287e+41,
13.65,5.8864e+41,
13.8,5.9431e+41,
13.95,5.9989e+41,
14.1,6.0537e+41,
14.25,6.1075e+41,
14.4,6.1603e+41,
14.55,6.2121e+41,
14.7,6.263e+41,
14.85,6.3128e+41,
15.0,6.3617e+41,
15.15,6.4095e+41,
15.3,6.4563e+41,
15.45,6.5021e+41,
15.6,6.547e+41,
15.75,6.5907e+41,
15.9,6.6335e+41,
16.05,6.6753e+41,
16.2,6.716e+41,
16.35,6.7557e+41,
16.5,6.7944e+41,
16.65,6.8321e+41,
16.8,6.8687e+41,
16.95,6.9043e+41,
17.1,6.9389e+41,
17.25,6.9725e+41,
17.4,7.0051e+41,
17.55,7.0366e+41,
17.7,7.0672e+41,
17.85,7.0967e+41,
18.0,7.1253e+41,
18.15,7.1528e+41,
18.3,7.1793e+41,
18.45,7.2048e+41,
18.6,7.2294e+41,
18.75,7.2529e+41,
18.9,7.2755e+41,
19.05,7.2971e+41,
19.2,7.3177e+41,
19.35,7.3373e+41,
19.5,7.356e+41,
19.65,7.3737e+41,
19.8,7.3905e+41,
19.95,7.4063e+41,
20.1,7.4212e+41,
20.25,7.4351e+41,
20.4,7.4481e+41,
20.55,7.4602e+41,
20.7,7.4714e+41,
20.85,7.4816e+41,
21.0,7.491e+41,
21.15,7.4995e+41,
21.3,7.507e+41,
21.45,7.5137e+41,
21.6,7.5195e+41,
21.75,7.5245e+41,
21.9,7.5286e+41,
22.05,7.5319e+41,
22.2,7.5343e+41,
22.35,7.5358e+41,
22.5,7.5366e+41,
22.65,7.5365e+41,
22.8,7.5356e+41,
22.95,7.534e+41,
23.1,7.5315e+41,
23.25,7.5282e+41,
23.4,7.5242e+41,
23.55,7.5194e+41,
23.7,7.5139e+41,
23.85,7.5076e+41,
24.0,7.5005e+41,
24.15,7.4928e+41,
24.3,7.4843e+41,
24.45,7.4751e+41,
24.6,7.4652e+41,
24.75,7.4546e+41,
24.9,7.4433e+41,
25.05,7.4313e+41,
25.2,7.4187e+41,
25.35,7.4054e+41,
25.5,7.3915e+41,
25.65,7.377e+41,
25.8,7.3618e+41,
25.95,7.346e+41,
26.1,7.3296e+41,
26.25,7.3125e+41,
26.4,7.2949e+41,
26.55,7.2768e+41,
26.7,7.258e+41,
26.85,7.2387e+41,
27.0,7.2188e+41,
27.15,7.1984e+41,
27.3,7.1775e+41,
27.45,7.156e+41,
27.6,7.134e+41,
27.75,7.1115e+41,
27.9,7.0885e+41,
28.05,7.0651e+41,
28.2,7.0411e+41,
28.35,7.0167e+41,
28.5,6.9919e+41,
28.65,6.9665e+41,
28.8,6.9408e+41,
28.95,6.9146e+41,
29.1,6.888e+41,
29.25,6.861e+41,
29.4,6.8335e+41,
29.55,6.8057e+41,
29.7,6.7775e+41,
29.85,6.7489e+41,
30.0,6.72e+41,
30.15,6.6907e+41,
30.3,6.661e+41,
30.45,6.631e+41,
30.6,6.6007e+41,
30.75,6.5701e+41,
30.9,6.5391e+41,
31.05,6.5079e+41,
31.2,6.4763e+41,
31.35,6.4444e+41,
31.5,6.4123e+41,
31.65,6.3799e+41,
31.8,6.3472e+41,
31.95,6.3143e+41,
32.1,6.2812e+41,
32.25,6.2477e+41,
32.4,6.2141e+41,
32.55,6.1803e+41,
32.7,6.1462e+41,
32.85,6.1119e+41,
33.0,6.0774e+41,
33.15,6.0427e+41,
33.3,6.0079e+41,
33.45,5.9729e+41,
33.6,5.9377e+41,
33.75,5.9023e+41,
33.9,5.8668e+41,
34.05,5.8311e+41,
34.2,5.7953e+41,
34.35,5.7594e+41,
34.5,5.7233e+41,
34.65,5.6871e+41,
34.8,5.6508e+41,
34.95,5.6145e+41,
35.1,5.578e+41,
35.25,5.5414e+41,
35.4,5.5047e+41,
35.55,5.468e+41,
35.7,5.4311e+41,
35.85,5.3943e+41,
36.0,5.3573e+41,
36.15,5.3203e+41,
36.3,5.2833e+41,
36.45,5.2462e+41,
36.6,5.2091e+41,
36.75,5.1719e+41,
36.9,5.1348e+41,
37.05,5.0976e+41,
37.2,5.0604e+41,
37.35,5.0232e+41,
37.5,4.986e+41,
37.65,4.9488e+41,
37.8,4.9116e+41,
37.95,4.8744e+41,
38.1,4.8373e+41,
38.25,4.8001e+41,
38.4,4.763e+41,
38.55,4.726e+41,
38.7,4.689e+41,
38.85,4.652e+41,
39.0,4.6151e+41,
39.15,4.5782e+41,
39.3,4.5414e+41,
39.45,4.5046e+41,
39.6,4.468e+41,
39.75,4.4314e+41,
39.9,4.3948e+41,
40.05,4.3584e+41,
40.2,4.322e+41,
40.35,4.2857e+41,
40.5,4.2495e+41,
40.65,4.2135e+41,
40.8,4.1775e+41,
40.95,4.1416e+41,
41.1,4.1058e+41,
41.25,4.0701e+41,
41.4,4.0346e+41,
41.55,3.9992e+41,
41.7,3.9638e+41,
41.85,3.9286e+41,
42.0,3.8936e+41,
42.15,3.8587e+41,
42.3,3.8239e+41,
42.45,3.7892e+41,
42.6,3.7547e+41,
42.75,3.7203e+41,
42.9,3.6861e+41,
43.05,3.652e+41,
43.2,3.618e+41,
43.35,3.5842e+41,
43.5,3.5506e+41,
43.65,3.5171e+41,
43.8,3.4838e+41,
43.95,3.4507e+41,
44.1,3.4177e+41,
44.25,3.3849e+41,
44.4,3.3522e+41,
44.55,3.3197e+41,
44.7,3.2874e+41,
44.85,3.2553e+41,
45.0,3.2233e+41,
45.15,3.1915e+41,
45.3,3.1599e+41,
45.45,3.1285e+41,
45.6,3.0973e+41,
45.75,3.0662e+41,
45.9,3.0353e+41,
46.05,3.0046e+41,
46.2,2.9741e+41,
46.35,2.9438e+41,
46.5,2.9137e+41,
46.65,2.8838e+41,
46.8,2.8541e+41,
46.95,2.8245e+41,
47.1,2.7952e+41,
47.25,2.766e+41,
47.4,2.7371e+41,
47.55,2.7083e+41,
47.7,2.6798e+41,
47.85,2.6514e+41,
48.0,2.6233e+41,
48.15,2.5953e+41,
48.3,2.5676e+41,
48.45,2.54e+41,
48.6,2.5127e+41,
48.75,2.4855e+41,
48.9,2.4586e+41,
49.05,2.4319e+41,
49.2,2.4053e+41,
49.35,2.379e+41,
49.5,2.3529e+41,
49.65,2.327e+41,
49.8,2.3013e+41,
49.95,2.2757e+41,
50.1,2.2504e+41,
50.25,2.2254e+41,
50.4,2.2005e+41,
50.55,2.1758e+41,
50.7,2.1513e+41,
50.85,2.127e+41,
51.0,2.1029e+41,
51.15,2.0791e+41,
51.3,2.0554e+41,
51.45,2.032e+41,
51.6,2.0087e+41,
51.75,1.9857e+41,
51.9,1.9628e+41,
52.05,1.9402e+41,
52.2,1.9177e+41,
52.35,1.8955e+41,
52.5,1.8735e+41,
52.65,1.8516e+41,
52.8,1.83e+41,
52.95,1.8086e+41,
53.1,1.7873e+41,
53.25,1.7663e+41,
53.4,1.7455e+41,
53.55,1.7248e+41,
53.7,1.7044e+41,
53.85,1.6842e+41,
54.0,1.6641e+41,
54.15,1.6443e+41,
54.3,1.6246e+41,
54.45,1.6052e+41,
54.6,1.5859e+41,
54.75,1.5668e+41,
54.9,1.5479e+41,
55.05,1.5293e+41,
55.2,1.5108e+41,
55.35,1.4924e+41,
55.5,1.4743e+41,
55.65,1.4564e+41,
55.8,1.4386e+41,
55.95,1.4211e+41,
56.1,1.4037e+41,
56.25,1.3865e+41,
56.4,1.3695e+41,
56.55,1.3526e+41,
56.7,1.336e+41,
56.85,1.3195e+41,
57.0,1.3032e+41,
57.15,1.2871e+41,
57.3,1.2711e+41,
57.45,1.2554e+41,
57.6,1.2398e+41,
57.75,1.2244e+41,
57.9,1.2091e+41,
58.05,1.194e+41,
58.2,1.1791e+41,
58.35,1.1644e+41,
58.5,1.1498e+41,
58.65,1.1354e+41,
58.8,1.1212e+41,
58.95,1.1071e+41,
59.1,1.0932e+41,
59.25,1.0794e+41,
59.4,1.0658e+41,
59.55,1.0524e+41,
59.7,1.0391e+41,
59.85,1.026e+41,
60.0,1.013e+41,
60.15,1.0002e+41,
60.3,9.8754e+40,
60.45,9.7503e+40,
60.6,9.6267e+40,
60.75,9.5046e+40,
60.9,9.384e+40,
61.05,9.2649e+40,
61.2,9.1472e+40,
61.35,9.031e+40,
61.5,8.9161e+40,
61.65,8.8028e+40,
61.8,8.6908e+40,
61.95,8.5802e+40,
62.1,8.471e+40,
62.25,8.3631e+40,
62.4,8.2567e+40,
62.55,8.1515e+40,
62.7,8.0477e+40,
62.85,7.9452e+40,
63.0,7.844e+40,
63.15,7.7442e+40,
63.3,7.6456e+40,
63.45,7.5482e+40,
63.6,7.4522e+40,
63.75,7.3573e+40,
63.9,7.2637e+40,
64.05,7.1714e+40,
64.2,7.0802e+40,
64.35,6.9902e+40,
64.5,6.9014e+40,
64.65,6.8138e+40,
64.8,6.7274e+40,
64.95,6.6421e+40,
65.1,6.5579e+40,
65.25,6.4749e+40,
65.4,6.393e+40,
65.55,6.3121e+40,
65.7,6.2324e+40,
65.85,6.1538e+40,
66.0,6.0762e+40,
66.15,5.9996e+40,
66.3,5.9242e+40,
66.45,5.8497e+40,
66.6,5.7763e+40,
66.75,5.7038e+40,
66.9,5.6324e+40,
67.05,5.562e+40,
67.2,5.4925e+40,
67.35,5.424e+40,
67.5,5.3565e+40,
67.65,5.2899e+40,
67.8,5.2242e+40,
67.95,5.1594e+40,
68.1,5.0956e+40,
68.25,5.0326e+40,
68.4,4.9706e+40,
68.55,4.9094e+40,
68.7,4.8491e+40,
68.85,4.7897e+40,
69.0,4.7311e+40,
69.15,4.6733e+40,
69.3,4.6164e+40,
69.45,4.5602e+40,
69.6,4.5049e+40,
69.75,4.4504e+40,
69.9,4.3967e+40,
70.05,4.3437e+40,
70.2,4.2915e+40,
70.35,4.2401e+40,
70.5,4.1894e+40,
70.65,4.1395e+40,
70.8,4.0902e+40,
70.95,4.0417e+40,
71.1,3.9939e+40,
71.25,3.9469e+40,
71.4,3.9005e+40,
71.55,3.8548e+40,
71.7,3.8097e+40,
71.85,3.7653e+40,
72.0,3.7216e+40,
72.15,3.6786e+40,
72.3,3.6361e+40,
72.45,3.5943e+40,
72.6,3.5531e+40,
72.75,3.5126e+40,
72.9,3.4726e+40,
73.05,3.4332e+40,
73.2,3.3945e+40,
73.35,3.3563e+40,
73.5,3.3187e+40,
73.65,3.2816e+40,
73.8,3.2451e+40,
73.95,3.2091e+40,
74.1,3.1737e+40,
74.25,3.1389e+40,
74.4,3.1045e+40,
74.55,3.0707e+40,
74.7,3.0374e+40,
74.85,3.0045e+40,
75.0,2.9722e+40,
75.15,2.9404e+40,
75.3,2.909e+40,
75.45,2.8782e+40,
75.6,2.8478e+40,
75.75,2.8178e+40,
75.9,2.7884e+40,
76.05,2.7593e+40,
76.2,2.7307e+40,
76.35,2.7026e+40,
76.5,2.6748e+40,
76.65,2.6475e+40,
76.8,2.6207e+40,
76.95,2.5942e+40,
77.1,2.5681e+40,
77.25,2.5424e+40,
77.4,2.5171e+40,
77.55,2.4922e+40,
77.7,2.4677e+40,
77.85,2.4436e+40,
78.0,2.4198e+40,
78.15,2.3964e+40,
78.3,2.3734e+40,
78.45,2.3507e+40,
78.6,2.3283e+40,
78.75,2.3063e+40,
78.9,2.2846e+40,
79.05,2.2633e+40,
79.2,2.2423e+40,
79.35,2.2216e+40,
79.5,2.2012e+40,
