time,lumin,
0.15,4.3697e+39,
0.3,1.7278e+40,
0.45,3.8423e+40,
0.6,6.7502e+40,
0.75,1.0421e+41,
0.9,1.4826e+41,
1.05,1.9933e+41,
1.2,2.5712e+41,
1.35,3.2135e+41,
1.5,3.9169e+41,
1.65,4.6787e+41,
1.8,5.4958e+41,
1.95,6.3652e+41,
2.1,7.284e+41,
2.25,8.2494e+41,
2.4,9.2583e+41,
2.55,1.0308e+42,
2.7,1.1396e+42,
2.85,1.2518e+42,
3.0,1.3674e+42,
3.15,1.4858e+42,
3.3,1.607e+42,
3.45,1.7306e+42,
3.6,1.8564e+42,
3.75,1.984e+42,
3.9,2.1134e+42,
4.05,2.2441e+42,
4.2,2.376e+42,
4.35,2.5089e+42,
4.5,2.6424e+42,
4.65,2.7764e+42,
4.8,2.9107e+42,
4.95,3.0449e+42,
5.1,3.1791e+42,
5.25,3.3128e+42,
5.4,3.4459e+42,
5.55,3.5783e+42,
5.7,3.7097e+42,
5.85,3.84e+42,
6.0,3.969e+42,
6.15,4.0965e+42,
6.3,4.2223e+42,
6.45,4.3464e+42,
6.6,4.4685e+42,
6.75,4.5886e+42,
6.9,4.7064e+42,
7.05,4.8219e+42,
7.2,4.9349e+42,
7.35,5.0454e+42,
7.5,5.1532e+42,
7.65,5.2582e+42,
7.8,5.3603e+42,
7.95,5.4595e+42,
8.1,5.5556e+42,
8.25,5.6486e+42,
8.4,5.7384e+42,
8.55,5.8249e+42,
8.7,5.9082e+42,
8.85,5.988e+42,
9.0,6.0645e+42,
9.15,6.1375e+42,
9.3,6.2071e+42,
9.45,6.2732e+42,
9.6,6.3357e+42,
9.75,6.3947e+42,
9.9,6.4501e+42,
10.05,6.502e+42,
10.2,6.5503e+42,
10.35,6.5951e+42,
10.5,6.6364e+42,
10.65,6.6741e+42,
10.8,6.7082e+42,
10.95,6.7389e+42,
11.1,6.7662e+42,
11.25,6.79e+42,
11.4,6.8103e+42,
11.55,6.8274e+42,
11.7,6.8411e+42,
11.85,6.8515e+42,
12.0,6.8587e+42,
12.15,6.8627e+42,
12.3,6.8636e+42,
12.45,6.8614e+42,
12.6,6.8562e+42,
12.75,6.848e+42,
12.9,6.8369e+42,
13.05,6.823e+42,
13.2,6.8064e+42,
13.35,6.787e+42,
13.5,6.7651e+42,
13.65,6.7405e+42,
13.8,6.7135e+42,
13.95,6.6841e+42,
14.1,6.6524e+42,
14.25,6.6183e+42,
14.4,6.5821e+42,
14.55,6.5438e+42,
14.7,6.5035e+42,
14.85,6.4612e+42,
15.0,6.417e+42,
15.15,6.371e+42,
15.3,6.3233e+42,
15.45,6.274e+42,
15.6,6.2231e+42,
15.75,6.1706e+42,
15.9,6.1168e+42,
16.05,6.0616e+42,
16.2,6.0051e+42,
16.35,5.9475e+42,
16.5,5.8887e+42,
16.65,5.8289e+42,
16.8,5.768e+42,
16.95,5.7063e+42,
17.1,5.6437e+42,
17.25,5.5803e+42,
17.4,5.5162e+42,
17.55,5.4515e+42,
17.7,5.3862e+42,
17.85,5.3204e+42,
18.0,5.2541e+42,
18.15,5.1874e+42,
18.3,5.1203e+42,
18.45,5.053e+42,
18.6,4.9854e+42,
18.75,4.9176e+42,
18.9,4.8497e+42,
19.05,4.7818e+42,
19.2,4.7138e+42,
19.35,4.6458e+42,
19.5,4.5779e+42,
19.65,4.5101e+42,
19.8,4.4424e+42,
19.95,4.3749e+42,
20.1,4.3076e+42,
20.25,4.2406e+42,
20.4,4.1739e+42,
20.55,4.1076e+42,
20.7,4.0416e+42,
20.85,3.976e+42,
21.0,3.9108e+42,
21.15,3.8461e+42,
21.3,3.7818e+42,
21.45,3.7181e+42,
21.6,3.6549e+42,
21.75,3.5922e+42,
21.9,3.5301e+42,
22.05,3.4686e+42,
22.2,3.4078e+42,
22.35,3.3475e+42,
22.5,3.2879e+42,
22.65,3.2289e+42,
22.8,3.1707e+42,
22.95,3.1131e+42,
23.1,3.0562e+42,
23.25,3e+42,
23.4,2.9445e+42,
23.55,2.8897e+42,
23.7,2.8357e+42,
23.85,2.7824e+42,
24.0,2.7299e+42,
24.15,2.6781e+42,
24.3,2.627e+42,
24.45,2.5767e+42,
24.6,2.5272e+42,
24.75,2.4784e+42,
24.9,2.4303e+42,
25.05,2.383e+42,
25.2,2.3365e+42,
25.35,2.2907e+42,
25.5,2.2457e+42,
25.65,2.2014e+42,
25.8,2.1579e+42,
25.95,2.1151e+42,
26.1,2.073e+42,
26.25,2.0317e+42,
26.4,1.9911e+42,
26.55,1.9513e+42,
26.7,1.9121e+42,
26.85,1.8736e+42,
27.0,1.8359e+42,
27.15,1.7988e+42,
27.3,1.7625e+42,
27.45,1.7268e+42,
27.6,1.6918e+42,
27.75,1.6575e+42,
27.9,1.6238e+42,
28.05,1.5907e+42,
28.2,1.5584e+42,
28.35,1.5266e+42,
28.5,1.4955e+42,
28.65,1.465e+42,
28.8,1.435e+42,
28.95,1.4057e+42,
29.1,1.377e+42,
29.25,1.3489e+42,
29.4,1.3213e+42,
29.55,1.2943e+42,
29.7,1.2678e+42,
29.85,1.2419e+42,
30.0,1.2166e+42,
30.15,1.1917e+42,
30.3,1.1674e+42,
30.45,1.1435e+42,
30.6,1.1202e+42,
30.75,1.0974e+42,
30.9,1.075e+42,
31.05,1.0531e+42,
31.2,1.0317e+42,
31.35,1.0107e+42,
31.5,9.9022e+41,
31.65,9.7014e+41,
31.8,9.5048e+41,
31.95,9.3125e+41,
32.1,9.1242e+41,
32.25,8.94e+41,
32.4,8.7598e+41,
32.55,8.5835e+41,
32.7,8.4109e+41,
32.85,8.2421e+41,
33.0,8.0769e+41,
33.15,7.9153e+41,
33.3,7.7572e+41,
33.45,7.6025e+41,
33.6,7.4512e+41,
33.75,7.3032e+41,
33.9,7.1584e+41,
34.05,7.0167e+41,
34.2,6.8781e+41,
34.35,6.7425e+41,
34.5,6.6099e+41,
34.65,6.4801e+41,
34.8,6.3532e+41,
34.95,6.2291e+41,
35.1,6.1076e+41,
35.25,5.9888e+41,
35.4,5.8726e+41,
35.55,5.7589e+41,
35.7,5.6477e+41,
35.85,5.5389e+41,
36.0,5.4324e+41,
36.15,5.3283e+41,
36.3,5.2265e+41,
36.45,5.1268e+41,
36.6,5.0293e+41,
36.75,4.934e+41,
36.9,4.8407e+41,
37.05,4.7494e+41,
37.2,4.6601e+41,
37.35,4.5728e+41,
37.5,4.4873e+41,
37.65,4.4037e+41,
37.8,4.3219e+41,
37.95,4.2418e+41,
38.1,4.1635e+41,
38.25,4.0869e+41,
38.4,4.0119e+41,
38.55,3.9386e+41,
38.7,3.8668e+41,
38.85,3.7966e+41,
39.0,3.7279e+41,
39.15,3.6606e+41,
39.3,3.5948e+41,
39.45,3.5304e+41,
39.6,3.4674e+41,
39.75,3.4057e+41,
39.9,3.3454e+41,
40.05,3.2863e+41,
40.2,3.2285e+41,
40.35,3.1719e+41,
40.5,3.1166e+41,
40.65,3.0624e+41,
40.8,3.0094e+41,
40.95,2.9574e+41,
41.1,2.9066e+41,
41.25,2.8569e+41,
41.4,2.8082e+41,
41.55,2.7606e+41,
41.7,2.7139e+41,
41.85,2.6683e+41,
42.0,2.6236e+41,
42.15,2.5798e+41,
42.3,2.537e+41,
42.45,2.495e+41,
42.6,2.454e+41,
42.75,2.4138e+41,
42.9,2.3744e+41,
43.05,2.3359e+41,
43.2,2.2981e+41,
43.35,2.2612e+41,
43.5,2.225e+41,
43.65,2.1896e+41,
43.8,2.1549e+41,
43.95,2.1209e+41,
44.1,2.0877e+41,
44.25,2.0551e+41,
44.4,2.0232e+41,
44.55,1.9919e+41,
44.7,1.9613e+41,
44.85,1.9314e+41,
45.0,1.902e+41,
45.15,1.8733e+41,
45.3,1.8451e+41,
45.45,1.8175e+41,
45.6,1.7905e+41,
45.75,1.764e+41,
45.9,1.7381e+41,
46.05,1.7127e+41,
46.2,1.6878e+41,
46.35,1.6635e+41,
46.5,1.6396e+41,
46.65,1.6162e+41,
46.8,1.5933e+41,
46.95,1.5708e+41,
47.1,1.5488e+41,
47.25,1.5272e+41,
47.4,1.5061e+41,
47.55,1.4854e+41,
47.7,1.4651e+41,
47.85,1.4452e+41,
48.0,1.4257e+41,
48.15,1.4066e+41,
48.3,1.3879e+41,
48.45,1.3695e+41,
48.6,1.3515e+41,
48.75,1.3339e+41,
48.9,1.3166e+41,
49.05,1.2997e+41,
49.2,1.2831e+41,
49.35,1.2668e+41,
49.5,1.2508e+41,
49.65,1.2352e+41,
49.8,1.2198e+41,
49.95,1.2048e+41,
50.1,1.19e+41,
50.25,1.1756e+41,
50.4,1.1614e+41,
50.55,1.1475e+41,
50.7,1.1338e+41,
50.85,1.1204e+41,
51.0,1.1073e+41,
51.15,1.0944e+41,
51.3,1.0818e+41,
51.45,1.0694e+41,
51.6,1.0573e+41,
51.75,1.0454e+41,
51.9,1.0337e+41,
52.05,1.0222e+41,
52.2,1.0109e+41,
52.35,9.9988e+40,
52.5,9.8904e+40,
52.65,9.7841e+40,
52.8,9.6797e+40,
52.95,9.5773e+40,
53.1,9.4768e+40,
53.25,9.3781e+40,
53.4,9.2812e+40,
53.55,9.1862e+40,
53.7,9.0928e+40,
53.85,9.0012e+40,
54.0,8.9113e+40,
54.15,8.823e+40,
54.3,8.7363e+40,
54.45,8.6511e+40,
54.6,8.5675e+40,
54.75,8.4854e+40,
54.9,8.4048e+40,
55.05,8.3256e+40,
55.2,8.2478e+40,
55.35,8.1714e+40,
55.5,8.0963e+40,
55.65,8.0226e+40,
55.8,7.9501e+40,
55.95,7.879e+40,
56.1,7.809e+40,
56.25,7.7403e+40,
56.4,7.6728e+40,
56.55,7.6064e+40,
56.7,7.5412e+40,
56.85,7.4771e+40,
57.0,7.4141e+40,
57.15,7.3521e+40,
57.3,7.2912e+40,
57.45,7.2313e+40,
57.6,7.1725e+40,
57.75,7.1146e+40,
57.9,7.0577e+40,
58.05,7.0017e+40,
58.2,6.9466e+40,
58.35,6.8925e+40,
58.5,6.8392e+40,
58.65,6.7868e+40,
58.8,6.7353e+40,
58.95,6.6846e+40,
59.1,6.6347e+40,
59.25,6.5856e+40,
59.4,6.5373e+40,
59.55,6.4897e+40,
59.7,6.4429e+40,
59.85,6.3968e+40,
60.0,6.3515e+40,
60.15,6.3069e+40,
60.3,6.2629e+40,
60.45,6.2197e+40,
60.6,6.1771e+40,
60.75,6.1351e+40,
60.9,6.0938e+40,
61.05,6.0531e+40,
61.2,6.013e+40,
61.35,5.9735e+40,
61.5,5.9346e+40,
61.65,5.8963e+40,
61.8,5.8585e+40,
61.95,5.8213e+40,
62.1,5.7847e+40,
62.25,5.7485e+40,
62.4,5.7129e+40,
62.55,5.6778e+40,
62.7,5.6432e+40,
62.85,5.6091e+40,
63.0,5.5755e+40,
63.15,5.5423e+40,
63.3,5.5096e+40,
63.45,5.4774e+40,
63.6,5.4456e+40,
63.75,5.4142e+40,
63.9,5.3832e+40,
64.05,5.3527e+40,
64.2,5.3226e+40,
64.35,5.2929e+40,
64.5,5.2635e+40,
64.65,5.2346e+40,
64.8,5.206e+40,
64.95,5.1779e+40,
65.1,5.15e+40,
65.25,5.1226e+40,
65.4,5.0954e+40,
65.55,5.0687e+40,
65.7,5.0422e+40,
65.85,5.0161e+40,
66.0,4.9904e+40,
66.15,4.9649e+40,
66.3,4.9397e+40,
66.45,4.9149e+40,
66.6,4.8904e+40,
66.75,4.8661e+40,
66.9,4.8421e+40,
67.05,4.8185e+40,
67.2,4.7951e+40,
67.35,4.772e+40,
67.5,4.7491e+40,
67.65,4.7265e+40,
67.8,4.7042e+40,
67.95,4.6821e+40,
68.1,4.6603e+40,
68.25,4.6387e+40,
68.4,4.6174e+40,
68.55,4.5962e+40,
68.7,4.5754e+40,
68.85,4.5547e+40,
69.0,4.5343e+40,
69.15,4.5141e+40,
69.3,4.4941e+40,
69.45,4.4743e+40,
69.6,4.4548e+40,
69.75,4.4354e+40,
69.9,4.4162e+40,
70.05,4.3973e+40,
70.2,4.3785e+40,
70.35,4.3599e+40,
70.5,4.3415e+40,
70.65,4.3233e+40,
70.8,4.3053e+40,
70.95,4.2874e+40,
71.1,4.2698e+40,
71.25,4.2523e+40,
71.4,4.2349e+40,
71.55,4.2177e+40,
71.7,4.2007e+40,
71.85,4.1839e+40,
72.0,4.1672e+40,
72.15,4.1507e+40,
72.3,4.1343e+40,
72.45,4.1181e+40,
72.6,4.102e+40,
72.75,4.086e+40,
72.9,4.0702e+40,
73.05,4.0546e+40,
73.2,4.0391e+40,
73.35,4.0237e+40,
73.5,4.0084e+40,
73.65,3.9933e+40,
73.8,3.9783e+40,
73.95,3.9635e+40,
74.1,3.9488e+40,
74.25,3.9342e+40,
74.4,3.9197e+40,
74.55,3.9053e+40,
74.7,3.8911e+40,
74.85,3.8769e+40,
75.0,3.8629e+40,
75.15,3.849e+40,
75.3,3.8352e+40,
75.45,3.8215e+40,
75.6,3.808e+40,
75.75,3.7945e+40,
75.9,3.7811e+40,
76.05,3.7679e+40,
76.2,3.7547e+40,
76.35,3.7417e+40,
76.5,3.7287e+40,
76.65,3.7158e+40,
76.8,3.7031e+40,
76.95,3.6904e+40,
77.1,3.6778e+40,
77.25,3.6653e+40,
77.4,3.6529e+40,
77.55,3.6406e+40,
77.7,3.6284e+40,
77.85,3.6163e+40,
78.0,3.6042e+40,
78.15,3.5923e+40,
78.3,3.5804e+40,
78.45,3.5686e+40,
78.6,3.5569e+40,
78.75,3.5453e+40,
78.9,3.5337e+40,
79.05,3.5223e+40,
79.2,3.5109e+40,
79.35,3.4995e+40,
79.5,3.4883e+40,
79.65,3.4771e+40,
79.8,3.466e+40,
79.95,3.455e+40,
80.1,3.4441e+40,
80.25,3.4332e+40,
80.4,3.4224e+40,
80.55,3.4116e+40,
80.7,3.401e+40,
80.85,3.3904e+40,
81.0,3.3798e+40,
81.15,3.3694e+40,
81.3,3.3589e+40,
81.45,3.3486e+40,
81.6,3.3383e+40,
81.75,3.3281e+40,
81.9,3.318e+40,
82.05,3.3079e+40,
82.2,3.2978e+40,
82.35,3.2879e+40,
82.5,3.278e+40,
82.65,3.2681e+40,
82.8,3.2583e+40,
82.95,3.2486e+40,
83.1,3.2389e+40,
83.25,3.2293e+40,
83.4,3.2197e+40,
83.55,3.2102e+40,
83.7,3.2007e+40,
83.85,3.1913e+40,
84.0,3.182e+40,
84.15,3.1727e+40,
84.3,3.1634e+40,
84.45,3.1543e+40,
84.6,3.1451e+40,
84.75,3.136e+40,
84.9,3.127e+40,
85.05,3.118e+40,
85.2,3.1091e+40,
85.35,3.1002e+40,
85.5,3.0913e+40,
85.65,3.0825e+40,
85.8,3.0738e+40,
85.95,3.0651e+40,
86.1,3.0564e+40,
86.25,3.0478e+40,
86.4,3.0393e+40,
86.55,3.0307e+40,
86.7,3.0223e+40,
86.85,3.0138e+40,
87.0,3.0055e+40,
87.15,2.9971e+40,
87.3,2.9888e+40,
87.45,2.9806e+40,
87.6,2.9724e+40,
87.75,2.9642e+40,
87.9,2.9561e+40,
88.05,2.948e+40,
88.2,2.94e+40,
88.35,2.932e+40,
88.5,2.924e+40,
88.65,2.9161e+40,
88.8,2.9082e+40,
88.95,2.9004e+40,
89.1,2.8926e+40,
89.25,2.8848e+40,
89.4,2.8771e+40,
89.55,2.8694e+40,
89.7,2.8617e+40,
89.85,2.8541e+40,
90.0,2.8466e+40,
90.15,2.839e+40,
90.3,2.8315e+40,
90.45,2.8241e+40,
90.6,2.8166e+40,
90.75,2.8093e+40,
90.9,2.8019e+40,
91.05,2.7946e+40,
91.2,2.7873e+40,
91.35,2.7801e+40,
91.5,2.7729e+40,
91.65,2.7657e+40,
91.8,2.7585e+40,
91.95,2.7514e+40,
92.1,2.7443e+40,
92.25,2.7373e+40,
92.4,2.7303e+40,
92.55,2.7233e+40,
92.7,2.7164e+40,
92.85,2.7095e+40,
93.0,2.7026e+40,
93.15,2.6958e+40,
93.3,2.6889e+40,
93.45,2.6822e+40,
93.6,2.6754e+40,
93.75,2.6687e+40,
93.9,2.662e+40,
94.05,2.6554e+40,
94.2,2.6487e+40,
94.35,2.6421e+40,
94.5,2.6356e+40,
94.65,2.629e+40,
94.8,2.6225e+40,
94.95,2.6161e+40,
95.1,2.6096e+40,
95.25,2.6032e+40,
95.4,2.5968e+40,
95.55,2.5905e+40,
95.7,2.5841e+40,
95.85,2.5778e+40,
96.0,2.5716e+40,
96.15,2.5653e+40,
96.3,2.5591e+40,
96.45,2.5529e+40,
96.6,2.5468e+40,
96.75,2.5406e+40,
96.9,2.5345e+40,
97.05,2.5285e+40,
97.2,2.5224e+40,
97.35,2.5164e+40,
97.5,2.5104e+40,
97.65,2.5044e+40,
97.8,2.4985e+40,
97.95,2.4926e+40,
98.1,2.4867e+40,
98.25,2.4808e+40,
98.4,2.475e+40,
98.55,2.4692e+40,
98.7,2.4634e+40,
98.85,2.4576e+40,
99.0,2.4519e+40,
99.15,2.4462e+40,
99.3,2.4405e+40,
99.45,2.4348e+40,
99.6,2.4292e+40,
99.75,2.4236e+40,
99.9,2.418e+40,
100.05,2.4125e+40,
100.2,2.4069e+40,
100.35,2.4014e+40,
100.5,2.3959e+40,
100.65,2.3905e+40,
100.8,2.385e+40,
100.95,2.3796e+40,
101.1,2.3742e+40,
101.25,2.3688e+40,
101.4,2.3635e+40,
101.55,2.3582e+40,
101.7,2.3529e+40,
101.85,2.3476e+40,
102.0,2.3423e+40,
102.15,2.3371e+40,
102.3,2.3319e+40,
102.45,2.3267e+40,
102.6,2.3215e+40,
102.75,2.3164e+40,
102.9,2.3113e+40,
103.05,2.3062e+40,
103.2,2.3011e+40,
103.35,2.296e+40,
103.5,2.291e+40,
103.65,2.286e+40,
103.8,2.281e+40,
103.95,2.276e+40,
104.1,2.271e+40,
104.25,2.2661e+40,
104.4,2.2612e+40,
104.55,2.2563e+40,
104.7,2.2514e+40,
104.85,2.2466e+40,
105.0,2.2418e+40,
105.15,2.237e+40,
105.3,2.2322e+40,
105.45,2.2274e+40,
105.6,2.2227e+40,
105.75,2.2179e+40,
105.9,2.2132e+40,
106.05,2.2085e+40,
106.2,2.2039e+40,
106.35,2.1992e+40,
106.5,2.1946e+40,
106.65,2.19e+40,
106.8,2.1854e+40,
106.95,2.1808e+40,
107.1,2.1763e+40,
107.25,2.1717e+40,
107.4,2.1672e+40,
107.55,2.1627e+40,
107.7,2.1582e+40,
107.85,2.1538e+40,
108.0,2.1493e+40,
108.15,2.1449e+40,
108.3,2.1405e+40,
108.45,2.1361e+40,
108.6,2.1318e+40,
108.75,2.1274e+40,
108.9,2.1231e+40,
109.05,2.1188e+40,
109.2,2.1145e+40,
109.35,2.1102e+40,
109.5,2.1059e+40,
109.65,2.1017e+40,
109.8,2.0974e+40,
109.95,2.0932e+40,
110.1,2.089e+40,
110.25,2.0849e+40,
110.4,2.0807e+40,
110.55,2.0766e+40,
110.7,2.0724e+40,
110.85,2.0683e+40,
111.0,2.0642e+40,
111.15,2.0602e+40,
111.3,2.0561e+40,
111.45,2.0521e+40,
111.6,2.048e+40,
111.75,2.044e+40,
111.9,2.04e+40,
112.05,2.036e+40,
112.2,2.0321e+40,
112.35,2.0281e+40,
112.5,2.0242e+40,
112.65,2.0203e+40,
112.8,2.0164e+40,
112.95,2.0125e+40,
113.1,2.0086e+40,
113.25,2.0048e+40,
113.4,2.0009e+40,
113.55,1.9971e+40,
113.7,1.9933e+40,
113.85,1.9895e+40,
114.0,1.9857e+40,
114.15,1.982e+40,
114.3,1.9782e+40,
114.45,1.9745e+40,
114.6,1.9708e+40,
114.75,1.9671e+40,
114.9,1.9634e+40,
115.05,1.9597e+40,
115.2,1.956e+40,
115.35,1.9524e+40,
115.5,1.9487e+40,
115.65,1.9451e+40,
115.8,1.9415e+40,
115.95,1.9379e+40,
116.1,1.9344e+40,
116.25,1.9308e+40,
116.4,1.9272e+40,
116.55,1.9237e+40,
116.7,1.9202e+40,
116.85,1.9167e+40,
117.0,1.9132e+40,
117.15,1.9097e+40,
117.3,1.9062e+40,
117.45,1.9028e+40,
117.6,1.8993e+40,
117.75,1.8959e+40,
117.9,1.8925e+40,
118.05,1.8891e+40,
118.2,1.8857e+40,
118.35,1.8823e+40,
118.5,1.879e+40,
118.65,1.8756e+40,
118.8,1.8723e+40,
118.95,1.8689e+40,
119.1,1.8656e+40,
119.25,1.8623e+40,
119.4,1.859e+40,
119.55,1.8558e+40,
119.7,1.8525e+40,
119.85,1.8492e+40,
120.0,1.846e+40,
120.15,1.8428e+40,
120.3,1.8396e+40,
120.45,1.8364e+40,
120.6,1.8332e+40,
120.75,1.83e+40,
120.9,1.8268e+40,
121.05,1.8237e+40,
121.2,1.8205e+40,
121.35,1.8174e+40,
121.5,1.8143e+40,
121.65,1.8112e+40,
121.8,1.8081e+40,
121.95,1.805e+40,
122.1,1.8019e+40,
122.25,1.7988e+40,
122.4,1.7958e+40,
122.55,1.7927e+40,
122.7,1.7897e+40,
122.85,1.7867e+40,
123.0,1.7837e+40,
123.15,1.7807e+40,
123.3,1.7777e+40,
123.45,1.7747e+40,
123.6,1.7718e+40,
123.75,1.7688e+40,
123.9,1.7659e+40,
124.05,1.7629e+40,
124.2,1.76e+40,
124.35,1.7571e+40,
124.5,1.7542e+40,
124.65,1.7513e+40,
124.8,1.7484e+40,
124.95,1.7455e+40,
125.1,1.7427e+40,
125.25,1.7398e+40,
125.4,1.737e+40,
125.55,1.7341e+40,
125.7,1.7313e+40,
125.85,1.7285e+40,
126.0,1.7257e+40,
126.15,1.7229e+40,
126.3,1.7201e+40,
126.45,1.7174e+40,
126.6,1.7146e+40,
126.75,1.7118e+40,
126.9,1.7091e+40,
127.05,1.7064e+40,
127.2,1.7036e+40,
127.35,1.7009e+40,
127.5,1.6982e+40,
127.65,1.6955e+40,
127.8,1.6928e+40,
127.95,1.6902e+40,
128.1,1.6875e+40,
128.25,1.6848e+40,
128.4,1.6822e+40,
128.55,1.6795e+40,
128.7,1.6769e+40,
128.85,1.6743e+40,
129.0,1.6717e+40,
129.15,1.6691e+40,
129.3,1.6665e+40,
129.45,1.6639e+40,
129.6,1.6613e+40,
129.75,1.6587e+40,
129.9,1.6561e+40,
130.05,1.6536e+40,
130.2,1.651e+40,
130.35,1.6485e+40,
130.5,1.646e+40,
130.65,1.6435e+40,
130.8,1.6409e+40,
130.95,1.6384e+40,
131.1,1.6359e+40,
131.25,1.6334e+40,
131.4,1.631e+40,
131.55,1.6285e+40,
131.7,1.626e+40,
131.85,1.6236e+40,
132.0,1.6211e+40,
132.15,1.6187e+40,
132.3,1.6162e+40,
132.45,1.6138e+40,
132.6,1.6114e+40,
132.75,1.609e+40,
132.9,1.6066e+40,
133.05,1.6042e+40,
133.2,1.6018e+40,
133.35,1.5994e+40,
133.5,1.5971e+40,
133.65,1.5947e+40,
133.8,1.5923e+40,
133.95,1.59e+40,
134.1,1.5876e+40,
134.25,1.5853e+40,
134.4,1.583e+40,
134.55,1.5807e+40,
134.7,1.5783e+40,
134.85,1.576e+40,
135.0,1.5737e+40,
135.15,1.5714e+40,
135.3,1.5692e+40,
135.45,1.5669e+40,
135.6,1.5646e+40,
135.75,1.5623e+40,
135.9,1.5601e+40,
136.05,1.5578e+40,
136.2,1.5556e+40,
136.35,1.5533e+40,
136.5,1.5511e+40,
136.65,1.5489e+40,
136.8,1.5467e+40,
136.95,1.5445e+40,
137.1,1.5423e+40,
137.25,1.5401e+40,
137.4,1.5379e+40,
137.55,1.5357e+40,
137.7,1.5335e+40,
137.85,1.5313e+40,
138.0,1.5292e+40,
138.15,1.527e+40,
138.3,1.5248e+40,
138.45,1.5227e+40,
138.6,1.5206e+40,
138.75,1.5184e+40,
138.9,1.5163e+40,
139.05,1.5142e+40,
