time,lumin,
0.15,6.1195e+38,
0.3,2.4203e+39,
0.45,5.3845e+39,
0.6,9.4647e+39,
0.75,1.4622e+40,
0.9,2.0819e+40,
1.05,2.8017e+40,
1.2,3.6182e+40,
1.35,4.5276e+40,
1.5,5.5265e+40,
1.65,6.6115e+40,
1.8,7.7793e+40,
1.95,9.0266e+40,
2.1,1.035e+41,
2.25,1.1747e+41,
2.4,1.3214e+41,
2.55,1.4748e+41,
2.7,1.6347e+41,
2.85,1.8007e+41,
3.0,1.9725e+41,
3.15,2.15e+41,
3.3,2.3328e+41,
3.45,2.5206e+41,
3.6,2.7133e+41,
3.75,2.9105e+41,
3.9,3.1121e+41,
4.05,3.3178e+41,
4.2,3.5273e+41,
4.35,3.7404e+41,
4.5,3.957e+41,
4.65,4.1768e+41,
4.8,4.3996e+41,
4.95,4.6252e+41,
5.1,4.8533e+41,
5.25,5.0839e+41,
5.4,5.3167e+41,
5.55,5.5515e+41,
5.7,5.7881e+41,
5.85,6.0264e+41,
6.0,6.2662e+41,
6.15,6.5074e+41,
6.3,6.7497e+41,
6.45,6.9931e+41,
6.6,7.2373e+41,
6.75,7.4822e+41,
6.9,7.7277e+41,
7.05,7.9736e+41,
7.2,8.2198e+41,
7.35,8.4662e+41,
7.5,8.7126e+41,
7.65,8.9589e+41,
7.8,9.2049e+41,
7.95,9.4506e+41,
8.1,9.6959e+41,
8.25,9.9406e+41,
8.4,1.0185e+42,
8.55,1.0428e+42,
8.7,1.067e+42,
8.85,1.0911e+42,
9.0,1.1152e+42,
9.15,1.1391e+42,
9.3,1.1629e+42,
9.45,1.1865e+42,
9.6,1.21e+42,
9.75,1.2334e+42,
9.9,1.2565e+42,
10.05,1.2796e+42,
10.2,1.3024e+42,
10.35,1.3251e+42,
10.5,1.3475e+42,
10.65,1.3698e+42,
10.8,1.3919e+42,
10.95,1.4138e+42,
11.1,1.4354e+42,
11.25,1.4568e+42,
11.4,1.478e+42,
11.55,1.499e+42,
11.7,1.5197e+42,
11.85,1.5402e+42,
12.0,1.5605e+42,
12.15,1.5805e+42,
12.3,1.6002e+42,
12.45,1.6197e+42,
12.6,1.639e+42,
12.75,1.6579e+42,
12.9,1.6766e+42,
13.05,1.695e+42,
13.2,1.7132e+42,
13.35,1.731e+42,
13.5,1.7486e+42,
13.65,1.7659e+42,
13.8,1.7829e+42,
13.95,1.7997e+42,
14.1,1.8161e+42,
14.25,1.8322e+42,
14.4,1.8481e+42,
14.55,1.8636e+42,
14.7,1.8789e+42,
14.85,1.8938e+42,
15.0,1.9085e+42,
15.15,1.9228e+42,
15.3,1.9369e+42,
15.45,1.9506e+42,
15.6,1.9641e+42,
15.75,1.9772e+42,
15.9,1.9901e+42,
16.05,2.0026e+42,
16.2,2.0148e+42,
16.35,2.0267e+42,
16.5,2.0383e+42,
16.65,2.0496e+42,
16.8,2.0606e+42,
16.95,2.0713e+42,
17.1,2.0817e+42,
17.25,2.0918e+42,
17.4,2.1015e+42,
17.55,2.111e+42,
17.7,2.1202e+42,
17.85,2.129e+42,
18.0,2.1376e+42,
18.15,2.1458e+42,
18.3,2.1538e+42,
18.45,2.1615e+42,
18.6,2.1688e+42,
18.75,2.1759e+42,
18.9,2.1826e+42,
19.05,2.1891e+42,
19.2,2.1953e+42,
19.35,2.2012e+42,
19.5,2.2068e+42,
19.65,2.2121e+42,
19.8,2.2171e+42,
19.95,2.2219e+42,
20.1,2.2264e+42,
20.25,2.2305e+42,
20.4,2.2344e+42,
20.55,2.2381e+42,
20.7,2.2414e+42,
20.85,2.2445e+42,
21.0,2.2473e+42,
