time,lumin,
0.099,1.8106e+40,
0.198,7.2263e+40,
0.297,1.6223e+41,
0.396,2.8776e+41,
0.495,4.4861e+41,
0.594,6.4451e+41,
0.693,8.7523e+41,
0.792,1.1405e+42,
0.891,1.44e+42,
0.99,1.7736e+42,
1.089,2.1409e+42,
1.188,2.5417e+42,
1.287,2.9757e+42,
1.386,3.4426e+42,
1.485,3.9422e+42,
1.584,4.4741e+42,
1.683,5.0381e+42,
1.782,5.6339e+42,
1.881,6.2612e+42,
1.98,6.9196e+42,
2.079,7.609e+42,
2.178,8.329e+42,
2.277,9.0792e+42,
2.376,9.8595e+42,
2.475,1.0669e+43,
2.574,1.1509e+43,
2.673,1.2377e+43,
2.772,1.3274e+43,
2.871,1.42e+43,
2.97,1.5153e+43,
3.069,1.6135e+43,
3.168,1.7144e+43,
3.267,1.818e+43,
3.366,1.9243e+43,
3.465,2.0332e+43,
3.564,2.1448e+43,
3.663,2.2589e+43,
3.762,2.3756e+43,
3.861,2.4948e+43,
3.96,2.6165e+43,
4.059,2.7406e+43,
4.158,2.8672e+43,
4.257,2.9961e+43,
4.356,3.1274e+43,
4.455,3.261e+43,
4.554,3.3969e+43,
4.653,3.535e+43,
4.752,3.6753e+43,
4.851,3.8178e+43,
4.95,3.9625e+43,
5.049,4.1092e+43,
5.148,4.2581e+43,
5.247,4.409e+43,
5.346,4.5618e+43,
5.445,4.7167e+43,
5.544,4.8735e+43,
5.643,5.0322e+43,
5.742,5.1927e+43,
5.841,5.3551e+43,
5.94,5.5193e+43,
6.039,5.6852e+43,
6.138,5.8529e+43,
6.237,6.0222e+43,
6.336,6.1932e+43,
6.435,6.3659e+43,
6.534,6.5401e+43,
6.633,6.7159e+43,
6.732,6.8931e+43,
6.831,7.0719e+43,
6.93,7.2521e+43,
7.029,7.4338e+43,
7.128,7.6168e+43,
7.227,7.8011e+43,
7.326,7.9868e+43,
7.425,8.1738e+43,
7.524,8.3619e+43,
7.623,8.5513e+43,
7.722,8.7419e+43,
7.821,8.9336e+43,
7.92,9.1264e+43,
8.019,9.3203e+43,
8.118,9.5153e+43,
8.217,9.7112e+43,
8.316,9.9081e+43,
8.415,1.0106e+44,
8.514,1.0305e+44,
8.613,1.0504e+44,
8.712,1.0705e+44,
8.811,1.0906e+44,
8.91,1.1108e+44,
9.009,1.1311e+44,
9.108,1.1514e+44,
9.207,1.1719e+44,
9.306,1.1923e+44,
9.405,1.2129e+44,
9.504,1.2335e+44,
9.603,1.2541e+44,
9.702,1.2749e+44,
9.801,1.2956e+44,
9.9,1.3164e+44,
9.999,1.3373e+44,
10.098,1.3582e+44,
10.197,1.3791e+44,
10.296,1.4e+44,
10.395,1.421e+44,
10.494,1.442e+44,
10.593,1.4631e+44,
10.692,1.4841e+44,
10.791,1.5052e+44,
10.89,1.5263e+44,
10.989,1.5474e+44,
11.088,1.5686e+44,
11.187,1.5897e+44,
11.286,1.6108e+44,
11.385,1.6319e+44,
11.484,1.6531e+44,
11.583,1.6742e+44,
11.682,1.6953e+44,
11.781,1.7164e+44,
11.88,1.7376e+44,
11.979,1.7586e+44,
12.078,1.7797e+44,
12.177,1.8008e+44,
12.276,1.8218e+44,
12.375,1.8428e+44,
12.474,1.8638e+44,
12.573,1.8847e+44,
12.672,1.9056e+44,
12.771,1.9265e+44,
12.87,1.9474e+44,
12.969,1.9682e+44,
13.068,1.9889e+44,
13.167,2.0096e+44,
13.266,2.0303e+44,
13.365,2.0509e+44,
13.464,2.0715e+44,
13.563,2.092e+44,
13.662,2.1125e+44,
13.761,2.1329e+44,
13.86,2.1532e+44,
13.959,2.1735e+44,
14.058,2.1937e+44,
14.157,2.2139e+44,
14.256,2.234e+44,
14.355,2.254e+44,
14.454,2.2739e+44,
14.553,2.2938e+44,
14.652,2.3136e+44,
14.751,2.3333e+44,
14.85,2.3529e+44,
14.949,2.3725e+44,
15.048,2.3919e+44,
15.147,2.4113e+44,
15.246,2.4306e+44,
15.345,2.4498e+44,
15.444,2.4689e+44,
15.543,2.4879e+44,
15.642,2.5069e+44,
15.741,2.5257e+44,
15.84,2.5444e+44,
15.939,2.563e+44,
16.038,2.5816e+44,
16.137,2.6e+44,
16.236,2.6183e+44,
16.335,2.6365e+44,
16.434,2.6546e+44,
16.533,2.6726e+44,
16.632,2.6905e+44,
16.731,2.7083e+44,
16.83,2.726e+44,
16.929,2.7435e+44,
17.028,2.761e+44,
17.127,2.7783e+44,
17.226,2.7955e+44,
17.325,2.8126e+44,
17.424,2.8295e+44,
17.523,2.8464e+44,
17.622,2.8631e+44,
17.721,2.8797e+44,
17.82,2.8962e+44,
17.919,2.9125e+44,
18.018,2.9287e+44,
18.117,2.9448e+44,
18.216,2.9608e+44,
18.315,2.9766e+44,
18.414,2.9923e+44,
18.513,3.0079e+44,
18.612,3.0233e+44,
18.711,3.0386e+44,
18.81,3.0538e+44,
18.909,3.0688e+44,
19.008,3.0837e+44,
19.107,3.0985e+44,
19.206,3.1131e+44,
19.305,3.1276e+44,
19.404,3.142e+44,
19.503,3.1562e+44,
19.602,3.1702e+44,
19.701,3.1842e+44,
19.8,3.198e+44,
19.899,3.2116e+44,
19.998,3.2251e+44,
20.097,3.2385e+44,
20.196,3.2517e+44,
20.295,3.2648e+44,
20.394,3.2777e+44,
20.493,3.2905e+44,
20.592,3.3031e+44,
20.691,3.3156e+44,
20.79,3.328e+44,
20.889,3.3402e+44,
20.988,3.3523e+44,
21.087,3.3642e+44,
21.186,3.3759e+44,
21.285,3.3876e+44,
21.384,3.399e+44,
21.483,3.4104e+44,
21.582,3.4216e+44,
21.681,3.4326e+44,
21.78,3.4435e+44,
21.879,3.4542e+44,
21.978,3.4648e+44,
22.077,3.4753e+44,
22.176,3.4856e+44,
22.275,3.4957e+44,
22.374,3.5057e+44,
22.473,3.5156e+44,
22.572,3.5253e+44,
22.671,3.5349e+44,
22.77,3.5443e+44,
22.869,3.5536e+44,
22.968,3.5627e+44,
23.067,3.5717e+44,
23.166,3.5805e+44,
23.265,3.5892e+44,
23.364,3.5977e+44,
23.463,3.6061e+44,
23.562,3.6144e+44,
23.661,3.6225e+44,
23.76,3.6304e+44,
23.859,3.6382e+44,
23.958,3.6459e+44,
24.057,3.6534e+44,
24.156,3.6608e+44,
24.255,3.668e+44,
24.354,3.6751e+44,
24.453,3.6821e+44,
24.552,3.6889e+44,
24.651,3.6956e+44,
24.75,3.7021e+44,
24.849,3.7085e+44,
24.948,3.7148e+44,
25.047,3.7209e+44,
25.146,3.7268e+44,
25.245,3.7327e+44,
25.344,3.7384e+44,
25.443,3.7439e+44,
25.542,3.7494e+44,
25.641,3.7547e+44,
25.74,3.7598e+44,
25.839,3.7648e+44,
25.938,3.7697e+44,
26.037,3.7745e+44,
26.136,3.7791e+44,
26.235,3.7836e+44,
26.334,3.7879e+44,
26.433,3.7921e+44,
26.532,3.7962e+44,
26.631,3.8002e+44,
26.73,3.804e+44,
26.829,3.8077e+44,
26.928,3.8113e+44,
27.027,3.8148e+44,
27.126,3.8181e+44,
27.225,3.8213e+44,
27.324,3.8244e+44,
27.423,3.8274e+44,
27.522,3.8302e+44,
27.621,3.8329e+44,
27.72,3.8355e+44,
27.819,3.838e+44,
27.918,3.8403e+44,
28.017,3.8426e+44,
28.116,3.8447e+44,
28.215,3.8467e+44,
28.314,3.8486e+44,
28.413,3.8503e+44,
28.512,3.852e+44,
28.611,3.8535e+44,
28.71,3.855e+44,
28.809,3.8563e+44,
28.908,3.8575e+44,
29.007,3.8586e+44,
29.106,3.8596e+44,
29.205,3.8605e+44,
29.304,3.8612e+44,
29.403,3.8619e+44,
29.502,3.8625e+44,
29.601,3.8629e+44,
29.7,3.8633e+44,
29.799,3.8635e+44,
29.898,3.8637e+44,
29.997,3.8638e+44,
30.096,3.8637e+44,
30.195,3.8636e+44,
30.294,3.8633e+44,
30.393,3.863e+44,
30.492,3.8625e+44,
30.591,3.862e+44,
30.69,3.8614e+44,
30.789,3.8607e+44,
30.888,3.8599e+44,
30.987,3.859e+44,
31.086,3.858e+44,
31.185,3.8569e+44,
31.284,3.8557e+44,
31.383,3.8545e+44,
31.482,3.8531e+44,
31.581,3.8517e+44,
31.68,3.8502e+44,
31.779,3.8486e+44,
31.878,3.8469e+44,
31.977,3.8452e+44,
32.076,3.8433e+44,
32.175,3.8414e+44,
32.274,3.8394e+44,
32.373,3.8374e+44,
32.472,3.8352e+44,
32.571,3.833e+44,
32.67,3.8307e+44,
32.769,3.8283e+44,
32.868,3.8259e+44,
32.967,3.8233e+44,
33.066,3.8208e+44,
33.165,3.8181e+44,
33.264,3.8154e+44,
33.363,3.8126e+44,
33.462,3.8097e+44,
33.561,3.8068e+44,
33.66,3.8038e+44,
33.759,3.8007e+44,
33.858,3.7976e+44,
33.957,3.7944e+44,
34.056,3.7911e+44,
34.155,3.7878e+44,
34.254,3.7845e+44,
34.353,3.781e+44,
34.452,3.7775e+44,
34.551,3.774e+44,
34.65,3.7704e+44,
34.749,3.7667e+44,
34.848,3.763e+44,
34.947,3.7592e+44,
35.046,3.7554e+44,
35.145,3.7515e+44,
35.244,3.7476e+44,
35.343,3.7436e+44,
35.442,3.7396e+44,
35.541,3.7355e+44,
35.64,3.7314e+44,
35.739,3.7272e+44,
35.838,3.723e+44,
35.937,3.7188e+44,
36.036,3.7144e+44,
36.135,3.7101e+44,
36.234,3.7057e+44,
36.333,3.7013e+44,
36.432,3.6968e+44,
36.531,3.6923e+44,
36.63,3.6877e+44,
36.729,3.6831e+44,
36.828,3.6784e+44,
36.927,3.6738e+44,
37.026,3.6691e+44,
37.125,3.6643e+44,
37.224,3.6595e+44,
37.323,3.6547e+44,
37.422,3.6498e+44,
37.521,3.6449e+44,
37.62,3.64e+44,
37.719,3.6351e+44,
37.818,3.6301e+44,
37.917,3.625e+44,
38.016,3.62e+44,
38.115,3.6149e+44,
38.214,3.6098e+44,
38.313,3.6047e+44,
38.412,3.5995e+44,
38.511,3.5943e+44,
38.61,3.5891e+44,
38.709,3.5839e+44,
38.808,3.5786e+44,
38.907,3.5733e+44,
39.006,3.568e+44,
39.105,3.5627e+44,
39.204,3.5573e+44,
39.303,3.5519e+44,
39.402,3.5465e+44,
39.501,3.5411e+44,
39.6,3.5356e+44,
39.699,3.5302e+44,
39.798,3.5247e+44,
39.897,3.5192e+44,
39.996,3.5137e+44,
40.095,3.5081e+44,
40.194,3.5026e+44,
40.293,3.497e+44,
40.392,3.4914e+44,
40.491,3.4858e+44,
40.59,3.4802e+44,
40.689,3.4746e+44,
40.788,3.4689e+44,
40.887,3.4633e+44,
40.986,3.4576e+44,
41.085,3.4519e+44,
41.184,3.4462e+44,
41.283,3.4405e+44,
41.382,3.4348e+44,
41.481,3.4291e+44,
41.58,3.4234e+44,
41.679,3.4176e+44,
41.778,3.4119e+44,
41.877,3.4061e+44,
41.976,3.4003e+44,
42.075,3.3946e+44,
42.174,3.3888e+44,
42.273,3.383e+44,
42.372,3.3772e+44,
42.471,3.3714e+44,
42.57,3.3656e+44,
42.669,3.3598e+44,
42.768,3.3539e+44,
42.867,3.3481e+44,
42.966,3.3423e+44,
43.065,3.3365e+44,
43.164,3.3306e+44,
43.263,3.3248e+44,
43.362,3.319e+44,
43.461,3.3131e+44,
43.56,3.3073e+44,
43.659,3.3014e+44,
43.758,3.2956e+44,
43.857,3.2897e+44,
43.956,3.2839e+44,
44.055,3.278e+44,
44.154,3.2722e+44,
44.253,3.2663e+44,
44.352,3.2605e+44,
44.451,3.2546e+44,
44.55,3.2488e+44,
44.649,3.2429e+44,
44.748,3.2371e+44,
44.847,3.2313e+44,
44.946,3.2254e+44,
45.045,3.2196e+44,
45.144,3.2138e+44,
45.243,3.2079e+44,
45.342,3.2021e+44,
45.441,3.1963e+44,
45.54,3.1905e+44,
45.639,3.1846e+44,
45.738,3.1788e+44,
45.837,3.173e+44,
45.936,3.1672e+44,
46.035,3.1614e+44,
46.134,3.1556e+44,
46.233,3.1498e+44,
46.332,3.1441e+44,
46.431,3.1383e+44,
46.53,3.1325e+44,
46.629,3.1268e+44,
46.728,3.121e+44,
46.827,3.1153e+44,
46.926,3.1095e+44,
47.025,3.1038e+44,
47.124,3.098e+44,
47.223,3.0923e+44,
47.322,3.0866e+44,
47.421,3.0809e+44,
47.52,3.0752e+44,
47.619,3.0695e+44,
47.718,3.0638e+44,
47.817,3.0581e+44,
47.916,3.0525e+44,
48.015,3.0468e+44,
48.114,3.0412e+44,
48.213,3.0355e+44,
48.312,3.0299e+44,
48.411,3.0243e+44,
48.51,3.0187e+44,
48.609,3.0131e+44,
48.708,3.0075e+44,
48.807,3.0019e+44,
48.906,2.9963e+44,
49.005,2.9907e+44,
49.104,2.9852e+44,
49.203,2.9796e+44,
49.302,2.9741e+44,
49.401,2.9686e+44,
49.5,2.963e+44,
49.599,2.9575e+44,
49.698,2.952e+44,
49.797,2.9465e+44,
49.896,2.9411e+44,
49.995,2.9356e+44,
50.094,2.9302e+44,
50.193,2.9247e+44,
50.292,2.9193e+44,
50.391,2.9139e+44,
50.49,2.9084e+44,
50.589,2.903e+44,
50.688,2.8977e+44,
50.787,2.8923e+44,
50.886,2.8869e+44,
50.985,2.8816e+44,
51.084,2.8762e+44,
51.183,2.8709e+44,
51.282,2.8656e+44,
51.381,2.8603e+44,
51.48,2.855e+44,
51.579,2.8497e+44,
51.678,2.8444e+44,
51.777,2.8391e+44,
51.876,2.8339e+44,
51.975,2.8287e+44,
52.074,2.8234e+44,
52.173,2.8182e+44,
52.272,2.813e+44,
52.371,2.8078e+44,
52.47,2.8026e+44,
52.569,2.7975e+44,
52.668,2.7923e+44,
52.767,2.7872e+44,
52.866,2.782e+44,
52.965,2.7769e+44,
53.064,2.7718e+44,
53.163,2.7667e+44,
53.262,2.7616e+44,
53.361,2.7566e+44,
53.46,2.7515e+44,
53.559,2.7465e+44,
53.658,2.7414e+44,
53.757,2.7364e+44,
53.856,2.7314e+44,
53.955,2.7264e+44,
54.054,2.7214e+44,
54.153,2.7164e+44,
54.252,2.7115e+44,
54.351,2.7065e+44,
54.45,2.7016e+44,
54.549,2.6967e+44,
54.648,2.6918e+44,
54.747,2.6869e+44,
54.846,2.682e+44,
54.945,2.6771e+44,
55.044,2.6722e+44,
55.143,2.6674e+44,
55.242,2.6626e+44,
55.341,2.6577e+44,
55.44,2.6529e+44,
55.539,2.6481e+44,
55.638,2.6433e+44,
55.737,2.6386e+44,
55.836,2.6338e+44,
55.935,2.629e+44,
56.034,2.6243e+44,
56.133,2.6196e+44,
56.232,2.6149e+44,
56.331,2.6102e+44,
56.43,2.6055e+44,
56.529,2.6008e+44,
56.628,2.5961e+44,
56.727,2.5915e+44,
56.826,2.5868e+44,
56.925,2.5822e+44,
57.024,2.5776e+44,
57.123,2.573e+44,
57.222,2.5684e+44,
57.321,2.5638e+44,
57.42,2.5592e+44,
57.519,2.5547e+44,
57.618,2.5501e+44,
57.717,2.5456e+44,
57.816,2.541e+44,
57.915,2.5365e+44,
58.014,2.532e+44,
58.113,2.5275e+44,
58.212,2.5231e+44,
58.311,2.5186e+44,
58.41,2.5141e+44,
58.509,2.5097e+44,
58.608,2.5053e+44,
58.707,2.5009e+44,
58.806,2.4964e+44,
58.905,2.4921e+44,
59.004,2.4877e+44,
59.103,2.4833e+44,
59.202,2.4789e+44,
59.301,2.4746e+44,
59.4,2.4702e+44,
59.499,2.4659e+44,
59.598,2.4616e+44,
59.697,2.4573e+44,
59.796,2.453e+44,
59.895,2.4487e+44,
59.994,2.4445e+44,
60.093,2.4402e+44,
60.192,2.4359e+44,
60.291,2.4317e+44,
60.39,2.4275e+44,
60.489,2.4233e+44,
60.588,2.4191e+44,
