Mni,M,Rp,Esn,pcsm,mcsm,max_LC,skew,CV_LC,mad,aslope,bslope,median,time
0.1,0.3,1,1e+50,-6.0,0.01,1.5999e+43,11.796,2.398,1.1498e+42,-1.3364e+42,9.5594e+41,1.9929e+41,3.97
0.5,0.3,1,1e+50,-6.0,0.01,3.4204e+43,11.362,2.5465,2.5637e+42,-2.9365e+42,3.8193e+42,2.7577e+41,3.97
0.1,1,6,3e+50,-7.0,0.1,2.9732e+43,3.5168,1.4618,5.0971e+42,-1.7576e+42,1.2714e+42,1.2236e+42,13.375
0.3,1,6,3e+50,-7.0,0.1,2.9732e+43,8.1329,2.2891,3.1372e+42,-1.7576e+42,1.2714e+42,2.9662e+40,13.375
0.8,1,6,3e+50,-7.0,0.1,5.0693e+43,4.2709,1.5993,8.155e+42,-2.8174e+42,3.4347e+42,1.3921e+42,10.405
0.1,1,8,3e+50,-7.0,0.1,5.0693e+43,9.727,2.4625,4.6885e+42,-2.8174e+42,3.4347e+42,9.8992e+40,10.405
0.5,1,8,3e+50,-7.0,0.1,3.754e+43,3.7679,1.3308,5.6145e+42,-1.4737e+42,3.2496e+42,2.5498e+42,7.93
0.8,1,8,3e+50,-7.0,0.1,3.754e+43,8.3197,2.1122,3.9185e+42,-1.4737e+42,3.2496e+42,1.9136e+41,7.93
0.1,1,10,3e+50,-7.0,0.1,3.754e+43,13.073,2.6792,2.706e+42,-1.4737e+42,3.2496e+42,3.5423e+40,7.93
0.5,1,10,3e+50,-7.0,0.1,2.981e+43,3.3303,1.1085,4.175e+42,-1.0711e+42,2.0956e+42,3.8381e+42,8.92
0.8,1,10,3e+50,-7.0,0.1,2.981e+43,7.1125,1.8038,3.4569e+42,-1.0711e+42,2.0956e+42,6.4383e+41,8.92
0.1,2,10,3e+50,-7.0,0.1,2.981e+43,11.116,2.3176,2.613e+42,-1.0711e+42,2.0956e+42,1.2207e+41,8.92
0.3,2,10,3e+50,-7.0,0.1,2.981e+43,15.185,2.7371,2.0311e+42,-1.0711e+42,2.0956e+42,2.03e+40,8.92
0.8,2,10,3e+50,-7.0,0.1,2.4013e+43,2.903,1.1155,3.8489e+42,-8.2439e+41,1.4329e+42,2.913e+42,12.88
0.1,0.5,3,1e+51,-7.0,0.1,2.4013e+43,6.4175,1.8654,3.1208e+42,-8.2439e+41,1.4329e+42,2.6218e+41,12.88
0.5,0.5,3,1e+51,-7.0,0.1,1.8287e+44,3.2965,1.7386,3.4019e+43,-5.3475e+42,6.4682e+42,3.8981e+41,4.465
0.1,1,6,1e+51,-7.0,0.1,1.2714e+44,5.0487,1.6782,1.7964e+43,-7.6154e+42,8.6004e+42,2.0208e+42,7.435
0.3,1,6,1e+51,-7.0,0.1,1.2714e+44,11.206,2.5713,9.9687e+42,-7.6154e+42,8.6004e+42,3.0432e+40,7.435
0.8,1,6,1e+51,-7.0,0.1,1.4792e+44,5.0132,1.6985,2.1022e+43,-8.6463e+42,1.1119e+43,2.1893e+42,7.435
0.1,1,8,1e+51,-7.0,0.1,1.4792e+44,11.188,2.5901,1.1484e+43,-8.6463e+42,1.1119e+43,1.5865e+41,7.435
0.5,1,8,1e+51,-7.0,0.1,9.9722e+43,3.6222,1.3109,1.4668e+43,-3.2327e+42,9.6962e+42,7.1207e+42,4.465
0.8,1,8,1e+51,-7.0,0.1,9.9722e+43,8.0199,2.0931,1.0491e+43,-3.2327e+42,9.6962e+42,4.5383e+41,4.465
0.1,2,8,1e+51,-7.0,0.1,9.9722e+43,12.628,2.6582,7.2464e+42,-3.2327e+42,9.6962e+42,5.0481e+40,4.465
0.3,2,8,1e+51,-7.0,0.1,9.9722e+43,17.284,3.1227,5.4645e+42,-3.2327e+42,9.6962e+42,8.2548e+39,4.465
0.8,2,8,1e+51,-7.0,0.1,5.9208e+43,2.9636,1.197,8.9495e+42,-1.3591e+42,5.3692e+42,6.3034e+42,5.95
0.1,2,10,1e+51,-7.0,0.1,5.9208e+43,6.6935,1.9117,6.998e+42,-1.3591e+42,5.3692e+42,7.9704e+41,5.95
0.3,2,10,1e+51,-7.0,0.1,5.9208e+43,10.623,2.4431,4.996e+42,-1.3591e+42,5.3692e+42,2.0426e+41,5.95
0.5,2,10,1e+51,-7.0,0.1,5.9208e+43,14.605,2.8788,3.8653e+42,-1.3591e+42,5.3692e+42,3.5111e+40,5.95
0.1,3,10,1e+51,-7.0,0.1,2.6806e+43,2.5027,0.79283,2.4213e+42,-6.7975e+41,2.5302e+42,6.7255e+42,4.465
0.3,3,10,1e+51,-7.0,0.1,2.6806e+43,4.6179,1.4289,3.5467e+42,-6.7975e+41,2.5302e+42,1.1887e+42,4.465
0.5,3,10,1e+51,-7.0,0.1,2.6806e+43,7.2004,1.8841,2.9622e+42,-6.7975e+41,2.5302e+42,1.9859e+41,4.465
0.8,3,10,1e+51,-7.0,0.1,2.6806e+43,9.8969,2.2502,2.3348e+42,-6.7975e+41,2.5302e+42,3.6052e+40,4.465
0.3,0.5,3,2e+51,-7.0,0.1,4.3672e+44,4.613,2.0853,6.508e+43,-1.1647e+43,1.305e+43,7.7743e+40,3.97
0.8,0.5,3,2e+51,-7.0,0.1,4.5576e+44,4.7047,2.0909,6.6961e+43,-1.3625e+43,1.4455e+43,1.7472e+41,4.465
0.1,1,6,2e+51,-7.0,0.1,4.5576e+44,11.038,3.1182,3.3524e+43,-1.3625e+43,1.4455e+43,4.697e+40,4.465
0.5,1,6,2e+51,-7.0,0.1,2.8936e+44,5.6497,1.7698,3.7907e+43,-1.6899e+43,2.3353e+43,3.3223e+42,5.455
