B,p10,Mint,Mniint,max_LC,skew,CV_LC,mad,aslope,bslope,median,time
0.5,0.2,0.4,0.1,5.3834e+44,2.1766,0.44604,3.1207e+43,-8.6702e+42,3.6023e+43,2.5284e+44,14.365
0.5,0.2,0.4,0.3,5.4637e+44,2.257,0.4581,3.1946e+43,-9.0559e+42,4.0042e+43,2.5284e+44,13.86
0.5,0.2,0.4,0.4,5.4961e+44,2.2594,0.45885,3.1407e+43,-9.4295e+42,4.0224e+43,2.5428e+44,13.86
0.5,0.2,0.4,0.5,5.527e+44,2.2612,0.45947,3.2431e+43,-9.2747e+42,4.1946e+43,2.5411e+44,13.365
0.5,0.2,0.4,0.6,5.5545e+44,2.2626,0.45998,3.3389e+43,-9.5941e+42,4.2091e+43,2.5395e+44,13.365
0.5,0.2,0.4,0.8,5.6043e+44,2.2649,0.46082,3.3113e+43,-9.6555e+42,4.4026e+43,2.5568e+44,12.87
0.5,0.2,0.5,0.1,5.1315e+44,2.2291,0.44776,2.5835e+43,-7.9147e+42,3.0985e+43,2.5107e+44,16.83
0.5,0.2,0.5,0.3,5.2119e+44,2.2292,0.44982,2.8549e+43,-7.8749e+42,3.3442e+43,2.5063e+44,15.84
0.5,0.2,0.5,0.4,5.2466e+44,2.2288,0.45053,2.778e+43,-8.2755e+42,3.3631e+43,2.5242e+44,15.84
0.5,0.2,0.5,0.5,5.2778e+44,2.2282,0.45111,2.8918e+43,-8.1522e+42,3.4921e+43,2.5224e+44,15.345
0.5,0.2,0.5,0.6,5.3072e+44,2.2274,0.45161,2.9987e+43,-8.4956e+42,3.5076e+43,2.5207e+44,15.345
0.5,0.2,0.5,0.8,5.3598e+44,2.2258,0.45243,2.9951e+43,-8.6183e+42,3.6558e+43,2.5376e+44,14.85
0.5,0.2,1,0.1,4.2669e+44,2.3343,0.42377,1.332e+43,-4.6455e+42,1.6805e+43,2.3933e+44,25.74
0.5,0.2,1,0.3,4.3436e+44,2.307,0.4242,1.3824e+43,-4.7873e+42,1.7792e+43,2.4178e+44,24.75
0.5,0.2,1,0.4,4.3778e+44,2.2947,0.42421,1.5513e+43,-4.8084e+42,1.8298e+43,2.4145e+44,24.255
0.5,0.2,1,0.5,4.4098e+44,2.2831,0.42415,1.5217e+43,-4.7998e+42,1.8815e+43,2.4303e+44,23.76
