B,p10,MinitMniintmax_LC,skew,CV_LC,mad,
0.5,0.2,0.8,0.1,4.3258e+44,2.2158,0.41255,1.6213e+43
0.5,0.2,0.8,0.2,4.3318e+44,2.3111,0.42368,1.3386e+43
0.5,0.2,0.8,0.3,4.3378e+44,2.3067,0.42302,1.3834e+43
0.5,0.2,0.8,0.4,4.3438e+44,2.3022,0.42239,1.4281e+43
0.5,0.2,0.8,0.5,4.3498e+44,2.2978,0.42179,1.4729e+43
0.5,0.2,0.8,0.6,4.3558e+44,2.2933,0.42121,1.5177e+43
0.5,0.2,0.8,0.7,4.3622e+44,2.2887,0.42066,1.4715e+43
0.5,0.2,0.9,0.1,4.2222e+44,2.3474,0.42202,1.2045e+43
0.5,0.2,0.9,0.2,4.2276e+44,2.3433,0.42125,1.2487e+43
0.5,0.2,0.9,0.3,4.2332e+44,2.3392,0.42049,1.2928e+43
0.5,0.2,0.9,0.4,4.2388e+44,2.3351,0.41977,1.2921e+43
0.5,0.2,0.9,0.5,4.2444e+44,2.3309,0.41907,1.1935e+43
0.5,0.2,0.9,0.6,4.25e+44,2.3267,0.4184,1.2376e+43
0.5,0.2,0.9,0.7,4.2556e+44,2.3225,0.41776,1.2817e+43
0.5,0.2,1.0,0.1,4.1294e+44,2.3805,0.42006,1.0602e+43
0.5,0.2,1.0,0.2,4.1343e+44,2.3769,0.4192,9.9658e+42
0.5,0.2,1.0,0.3,4.1391e+44,2.3732,0.41837,1.0402e+43
0.5,0.2,1.0,0.4,4.144e+44,2.3695,0.41757,1.0837e+43
0.5,0.2,1.0,0.5,4.149e+44,2.3658,0.41679,1.1273e+43
0.5,0.2,1.0,0.6,4.1542e+44,2.362,0.41603,1.1709e+43
0.5,0.2,1.0,0.7,4.1594e+44,2.3582,0.4153,1.0265e+43
0.5,0.2,1.1,0.1,4.0447e+44,2.4141,0.41842,9.0831e+42
0.5,0.2,1.1,0.2,4.0492e+44,2.4111,0.41749,9.5135e+42
0.5,0.2,1.1,0.3,4.0537e+44,2.408,0.41658,9.2141e+42
0.5,0.2,1.1,0.4,4.0581e+44,2.4048,0.4157,8.5169e+42
0.5,0.2,1.1,0.5,4.0626e+44,2.4016,0.41485,8.9469e+42
0.5,0.2,1.1,0.6,4.0672e+44,2.3983,0.41402,9.377e+42
0.5,0.2,1.1,0.7,4.072e+44,2.395,0.41321,9.807e+42
0.5,0.2,1.2,0.1,3.9669e+44,2.4478,0.41705,6.9625e+42
0.5,0.2,1.2,0.2,3.9711e+44,2.4454,0.41605,7.3875e+42
0.5,0.2,1.2,0.3,3.9752e+44,2.4429,0.41508,7.8124e+42
0.5,0.2,1.2,0.4,3.9793e+44,2.4403,0.41413,8.2373e+42
0.5,0.2,1.2,0.5,3.9835e+44,2.4377,0.41321,7.2706e+42
0.5,0.2,1.2,0.6,3.9876e+44,2.4351,0.41231,7.2274e+42
0.5,0.2,1.2,0.7,3.9919e+44,2.4323,0.41143,7.652e+42
0.5,0.2,1.3,0.1,3.8951e+44,2.4811,0.4159,5.8127e+42
0.5,0.2,1.3,0.2,3.8989e+44,2.4793,0.41484,5.4195e+42
0.5,0.2,1.3,0.3,3.9027e+44,2.4775,0.41381,5.8392e+42
0.5,0.2,1.3,0.4,3.9066e+44,2.4757,0.4128,6.2588e+42
0.5,0.2,1.3,0.5,3.9104e+44,2.4737,0.41182,6.6785e+42
0.5,0.2,1.3,0.6,3.9142e+44,2.4717,0.41086,6.7665e+42
0.5,0.2,1.3,0.7,3.9183e+44,2.4696,0.40992,5.6568e+42
